transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
comp1000350_c0_seq1|m.22503 comp1000350_c0_seq1|g.22503  ,mlei1,_,3,-,-,-,N,-,108,-,-
comp13380_c0_seq1|m.6291 comp13380_c0_seq1|g.6291  ,mlei3028,_,1,-,-,-,N,-,420,-,-
comp13380_c0_seq2|m.6292 comp13380_c0_seq2|g.6292  ,mlei3029,_,1,-,-,-,N,-,395,-,-
comp13382_c0_seq1|m.6293 comp13382_c0_seq1|g.6293  ,mlei3030,_,2,-,-,-,N,-,219,-,-
comp13383_c0_seq1|m.6294 comp13383_c0_seq1|g.6294  ,mlei3031,S,1,-,-,-,N,-,307,-,-
comp13384_c0_seq1|m.6295 comp13384_c0_seq1|g.6295  ,mlei3032,_,2,-,-,-,N,-,403,-,-
comp1338553_c0_seq1|m.23436 comp1338553_c0_seq1|g.23436  ,mlei3033,S,3,-,-,-,N,-,106,-,-
comp13386_c0_seq1|m.6296 comp13386_c0_seq1|g.6296  ,mlei3034,_,1,-,-,-,N,-,336,-,-
comp13391_c0_seq1|m.6297 comp13391_c0_seq1|g.6297  ,mlei3035,_,1,-,-,-,N,-,1125,-,-
comp13391_c0_seq2|m.6302 comp13391_c0_seq2|g.6302  ,mlei3036,_,5,-,-,-,N,-,224,-,-
comp13391_c0_seq3|m.6303 comp13391_c0_seq3|g.6303  ,mlei3037,_,3,-,-,-,N,-,598,-,-
comp13392_c0_seq1|m.6306 comp13392_c0_seq1|g.6306  ,mlei3038,_,3,-,-,-,N,-,391,-,-
comp13393_c0_seq1|m.6307 comp13393_c0_seq1|g.6307  ,mlei3039,S,1,-,-,-,N,-,614,-,-
comp13394_c0_seq1|m.6308 comp13394_c0_seq1|g.6308  ,mlei3040,_,3,-,-,-,N,-,290,-,-
comp13396_c0_seq1|m.6309 comp13396_c0_seq1|g.6309  ,mlei3041,_,4,-,-,-,N,-,223,-,-
comp1339767_c0_seq1|m.23437 comp1339767_c0_seq1|g.23437  ,mlei3042,S,1,-,-,-,N,-,115,-,-
comp13399_c0_seq1|m.6310 comp13399_c0_seq1|g.6310  ,mlei3043,_,5,-,-,-,N,-,109,-,-
comp133_c0_seq1|m.33 comp133_c0_seq1|g.33  ,mlei3044,_,4,-,-,-,N,-,381,-,-
comp1340040_c0_seq1|m.23438 comp1340040_c0_seq1|g.23438  ,mlei3045,_,3,-,-,-,N,-,116,-,-
comp1340163_c0_seq1|m.23439 comp1340163_c0_seq1|g.23439  ,mlei3046,_,1,-,-,-,N,-,117,-,-
comp13401_c0_seq1|m.6311 comp13401_c0_seq1|g.6311  ,mlei3047,_,5,-,-,-,N,-,496,-,-
comp13401_c0_seq2|m.6312 comp13401_c0_seq2|g.6312  ,mlei3048,_,5,hsap1914,mmus1011,-,Y,AKAP10,496,Akap10,-
comp13403_c0_seq1|m.6313 comp13403_c0_seq1|g.6313  ,mlei3049,_,1,-,-,-,N,-,297,-,-
comp13407_c0_seq1|m.6314 comp13407_c0_seq1|g.6314  ,mlei3050,_,2,-,-,-,N,-,132,-,-
comp1340958_c0_seq1|m.23441 comp1340958_c0_seq1|g.23441  ,mlei3051,_,1,-,-,-,N,-,118,-,-
comp13409_c0_seq1|m.6315 comp13409_c0_seq1|g.6315  ,mlei3052,M,4,-,-,-,N,-,192,-,-
comp1341022_c0_seq1|m.23442 comp1341022_c0_seq1|g.23442  ,mlei3053,_,2,-,-,-,N,-,168,-,-
comp13410_c0_seq1|m.6316 comp13410_c0_seq1|g.6316  ,mlei3054,_,3,-,-,-,N,-,461,-,-
comp13413_c0_seq1|m.6317 comp13413_c0_seq1|g.6317  ,mlei3055,_,1,-,-,-,N,-,113,-,-
comp13415_c0_seq1|m.6318 comp13415_c0_seq1|g.6318  ,mlei3056,M,5,-,-,scer535,Y,-,644,-,YJL070C
comp13416_c0_seq1|m.6319 comp13416_c0_seq1|g.6319  ,mlei3057,_,2,-,-,-,N,-,370,-,-
comp13417_c0_seq1|m.6320 comp13417_c0_seq1|g.6320  ,mlei3058,M,4,-,-,-,N,-,388,-,-
comp134204_c0_seq1|m.17924 comp134204_c0_seq1|g.17924  ,mlei3059,_,1,-,-,-,N,-,255,-,-
comp13420_c0_seq1|m.6323 comp13420_c0_seq1|g.6323  ,mlei3060,_,3,-,-,-,N,-,304,-,-
comp1342131_c0_seq1|m.23443 comp1342131_c0_seq1|g.23443  ,mlei3061,_,3,-,-,-,N,-,100,-,-
comp1342178_c0_seq1|m.23444 comp1342178_c0_seq1|g.23444  ,mlei3062,_,2,-,-,-,N,-,99,-,-
comp13426_c0_seq1|m.6325 comp13426_c0_seq1|g.6325  ,mlei3063,S,4,-,-,-,N,-,171,-,-
comp13431_c0_seq1|m.6326 comp13431_c0_seq1|g.6326  ,mlei3064,_,2,-,-,-,N,-,781,-,-
comp13431_c0_seq2|m.6328 comp13431_c0_seq2|g.6328  ,mlei3065,_,2,-,-,-,N,-,156,-,-
comp13432_c0_seq1|m.6329 comp13432_c0_seq1|g.6329  ,mlei3066,_,3,-,-,-,N,-,361,-,-
comp134334_c0_seq1|m.17925 comp134334_c0_seq1|g.17925  ,mlei3067,_,2,-,-,-,N,-,128,-,-
comp13433_c0_seq1|m.6330 comp13433_c0_seq1|g.6330  ,mlei3068,_,5,-,-,-,N,-,181,-,-
comp13436_c0_seq1|m.6332 comp13436_c0_seq1|g.6332  ,mlei3069,_,1,-,-,-,N,-,611,-,-
comp13437_c0_seq1|m.6333 comp13437_c0_seq1|g.6333  ,mlei3070,_,1,-,-,-,N,-,975,-,-
comp13438_c0_seq1|m.6334 comp13438_c0_seq1|g.6334  ,mlei3071,_,2,-,-,-,N,-,384,-,-
comp13439_c0_seq1|m.6335 comp13439_c0_seq1|g.6335  ,mlei3072,_,4,-,-,-,N,-,296,-,-
comp134459_c0_seq1|m.17927 comp134459_c0_seq1|g.17927  ,mlei3073,_,2,-,-,-,N,-,120,-,-
comp13445_c0_seq1|m.6337 comp13445_c0_seq1|g.6337  ,mlei3074,S,2,-,-,-,N,-,535,-,-
comp1344710_c0_seq1|m.23445 comp1344710_c0_seq1|g.23445  ,mlei3075,_,4,-,-,-,N,-,110,-,-
comp13447_c0_seq1|m.6338 comp13447_c0_seq1|g.6338  ,mlei3076,S,1,-,-,-,N,-,283,-,-
comp13448_c0_seq1|m.6339 comp13448_c0_seq1|g.6339  ,mlei3077,_,3,-,-,-,N,-,183,-,-
comp13448_c0_seq2|m.6340 comp13448_c0_seq2|g.6340  ,mlei3078,_,2,-,-,-,N,-,134,-,-
comp13448_c0_seq3|m.6341 comp13448_c0_seq3|g.6341  ,mlei3079,_,2,-,-,-,N,-,146,-,-
comp1344920_c0_seq1|m.23446 comp1344920_c0_seq1|g.23446  ,mlei3080,_,5,-,-,-,N,-,151,-,-
comp13449_c0_seq1|m.6343 comp13449_c0_seq1|g.6343  ,mlei3081,S,1,-,-,-,N,-,605,-,-
comp13451_c0_seq1|m.6344 comp13451_c0_seq1|g.6344  ,mlei3082,_,1,-,-,-,N,-,191,-,-
comp13451_c0_seq2|m.6345 comp13451_c0_seq2|g.6345  ,mlei3083,_,1,-,-,-,N,-,130,-,-
comp134577_c0_seq1|m.17928 comp134577_c0_seq1|g.17928  ,mlei3084,_,3,-,-,-,N,-,649,-,-
comp1346033_c0_seq1|m.23447 comp1346033_c0_seq1|g.23447  ,mlei3085,_,1,-,-,-,N,-,117,-,-
comp1346412_c0_seq1|m.23448 comp1346412_c0_seq1|g.23448  ,mlei3086,_,1,-,-,-,N,-,105,-,-
comp1346981_c0_seq1|m.23449 comp1346981_c0_seq1|g.23449  ,mlei3087,_,4,-,-,-,N,-,110,-,-
comp13469_c0_seq1|m.6346 comp13469_c0_seq1|g.6346  ,mlei3088,_,1,-,-,-,N,-,142,-,-
comp13469_c0_seq2|m.6347 comp13469_c0_seq2|g.6347  ,mlei3089,_,1,-,-,-,N,-,166,-,-
comp13471_c0_seq1|m.6348 comp13471_c0_seq1|g.6348  ,mlei3090,M,4,-,-,-,N,-,161,-,-
comp13472_c0_seq1|m.6349 comp13472_c0_seq1|g.6349  ,mlei3091,_,2,-,-,-,N,-,297,-,-
comp13473_c0_seq1|m.6350 comp13473_c0_seq1|g.6350  ,mlei3092,M,3,hsap755,mmus1398,-,Y,MUT,740,Mut,-
comp1347535_c0_seq1|m.23450 comp1347535_c0_seq1|g.23450  ,mlei3093,_,1,-,-,-,N,-,132,-,-
comp13475_c0_seq1|m.6352 comp13475_c0_seq1|g.6352  ,mlei3094,_,2,hsap1368,mmus1485,-,Y,PRDX5,251,Prdx5,-
comp13476_c0_seq1|m.6353 comp13476_c0_seq1|g.6353  ,mlei3095,_,1,-,-,-,N,-,286,-,-
comp13477_c0_seq1|m.6354 comp13477_c0_seq1|g.6354  ,mlei3096,_,2,-,-,-,N,-,447,-,-
comp1347956_c0_seq1|m.23451 comp1347956_c0_seq1|g.23451  ,mlei3097,_,1,-,-,-,N,-,106,-,-
comp13479_c0_seq1|m.6355 comp13479_c0_seq1|g.6355  ,mlei3098,_,3,-,-,-,N,-,252,-,-
comp1347_c0_seq1|m.318 comp1347_c0_seq1|g.318  ,mlei3099,M,5,-,-,-,N,-,172,-,-
comp13481_c0_seq1|m.6356 comp13481_c0_seq1|g.6356  ,mlei3100,M,4,-,-,-,N,-,351,-,-
comp13482_c0_seq1|m.6358 comp13482_c0_seq1|g.6358  ,mlei3101,M,3,-,-,-,Y,-,198,-,-
comp13483_c0_seq1|m.6359 comp13483_c0_seq1|g.6359  ,mlei3102,_,2,-,-,-,N,-,188,-,-
comp13484_c0_seq1|m.6361 comp13484_c0_seq1|g.6361  ,mlei3103,_,2,-,-,-,N,-,290,-,-
comp13486_c0_seq1|m.6362 comp13486_c0_seq1|g.6362  ,mlei3104,_,1,-,-,-,N,-,278,-,-
comp13487_c0_seq1|m.6363 comp13487_c0_seq1|g.6363  ,mlei3105,S,1,-,-,-,N,-,635,-,-
comp13489_c0_seq1|m.6365 comp13489_c0_seq1|g.6365  ,mlei3106,S,1,-,-,-,N,-,356,-,-
comp13492_c0_seq1|m.6366 comp13492_c0_seq1|g.6366  ,mlei3107,S,2,-,-,-,N,-,809,-,-
comp1349399_c0_seq1|m.23453 comp1349399_c0_seq1|g.23453  ,mlei3108,_,2,-,-,-,N,-,100,-,-
comp13495_c0_seq1|m.6367 comp13495_c0_seq1|g.6367  ,mlei3109,_,2,-,-,-,N,-,469,-,-
comp13495_c0_seq2|m.6368 comp13495_c0_seq2|g.6368  ,mlei3110,_,2,-,-,-,N,-,298,-,-
comp13497_c0_seq1|m.6369 comp13497_c0_seq1|g.6369  ,mlei3111,_,3,-,-,-,N,-,259,-,-
comp13498_c0_seq2|m.6370 comp13498_c0_seq2|g.6370  ,mlei3112,M,3,hsap1916,mmus1024,-,Y,POLDIP2,335,Poldip2,-
comp13499_c0_seq1|m.6371 comp13499_c0_seq1|g.6371  ,mlei3113,_,3,-,-,-,N,-,100,-,-
comp13501_c0_seq1|m.6372 comp13501_c0_seq1|g.6372  ,mlei3114,M,5,-,-,-,N,-,116,-,-
comp1350275_c0_seq1|m.23454 comp1350275_c0_seq1|g.23454  ,mlei3115,_,5,-,-,-,N,-,111,-,-
comp13504_c0_seq1|m.6373 comp13504_c0_seq1|g.6373  ,mlei3116,_,2,-,-,-,N,-,163,-,-
comp13505_c0_seq1|m.6374 comp13505_c0_seq1|g.6374  ,mlei3117,_,1,-,-,-,N,-,322,-,-
comp13505_c0_seq2|m.6375 comp13505_c0_seq2|g.6375  ,mlei3118,_,1,-,-,-,N,-,350,-,-
comp1350740_c0_seq1|m.23455 comp1350740_c0_seq1|g.23455  ,mlei3119,_,1,-,-,-,N,-,104,-,-
comp13507_c0_seq1|m.6376 comp13507_c0_seq1|g.6376  ,mlei3120,_,1,-,-,-,N,-,323,-,-
comp13508_c0_seq1|m.6377 comp13508_c0_seq1|g.6377  ,mlei3121,_,3,-,-,-,N,-,201,-,-
comp13509_c0_seq1|m.6378 comp13509_c0_seq1|g.6378  ,mlei3122,_,1,-,-,-,N,-,382,-,-
comp13509_c0_seq2|m.6379 comp13509_c0_seq2|g.6379  ,mlei3123,_,1,-,-,-,N,-,377,-,-
comp13509_c0_seq3|m.6380 comp13509_c0_seq3|g.6380  ,mlei3124,_,1,-,-,-,N,-,382,-,-
comp13511_c0_seq1|m.6381 comp13511_c0_seq1|g.6381  ,mlei3125,M,3,-,-,-,Y,-,218,-,-
comp1351371_c0_seq1|m.23456 comp1351371_c0_seq1|g.23456  ,mlei3126,_,1,-,-,-,N,-,119,-,-
comp13513_c0_seq1|m.6383 comp13513_c0_seq1|g.6383  ,mlei3127,S,1,-,-,-,N,-,237,-,-
comp13519_c0_seq1|m.6384 comp13519_c0_seq1|g.6384  ,mlei3128,_,1,-,-,-,N,-,237,-,-
comp135201_c0_seq1|m.17930 comp135201_c0_seq1|g.17930  ,mlei3129,S,1,-,-,-,N,-,156,-,-
comp13520_c0_seq1|m.6385 comp13520_c0_seq1|g.6385  ,mlei3130,_,1,-,-,-,N,-,146,-,-
comp1352237_c0_seq1|m.23457 comp1352237_c0_seq1|g.23457  ,mlei3131,_,3,-,-,-,N,-,136,-,-
comp13525_c0_seq1|m.6387 comp13525_c0_seq1|g.6387  ,mlei3132,_,1,-,-,-,N,-,473,-,-
comp13525_c0_seq2|m.6388 comp13525_c0_seq2|g.6388  ,mlei3133,_,1,-,-,-,N,-,473,-,-
comp13526_c0_seq1|m.6389 comp13526_c0_seq1|g.6389  ,mlei3134,_,5,-,-,-,N,-,271,-,-
comp13528_c0_seq1|m.6390 comp13528_c0_seq1|g.6390  ,mlei3135,_,2,-,-,-,N,-,369,-,-
comp13529_c0_seq1|m.6391 comp13529_c0_seq1|g.6391  ,mlei3136,_,1,-,-,-,N,-,442,-,-
comp13530_c0_seq1|m.6392 comp13530_c0_seq1|g.6392  ,mlei3137,S,2,-,-,-,N,-,351,-,-
comp1353580_c0_seq1|m.23458 comp1353580_c0_seq1|g.23458  ,mlei3138,_,2,-,-,-,N,-,137,-,-
comp1353603_c0_seq1|m.23459 comp1353603_c0_seq1|g.23459  ,mlei3139,_,3,-,-,-,N,-,114,-,-
comp13537_c0_seq1|m.6393 comp13537_c0_seq1|g.6393  ,mlei3140,_,1,-,-,-,N,-,191,-,-
comp13538_c0_seq1|m.6394 comp13538_c0_seq1|g.6394  ,mlei3141,S,3,-,-,-,N,-,291,-,-
comp13539_c0_seq1|m.6395 comp13539_c0_seq1|g.6395  ,mlei3142,M,5,-,-,-,N,-,662,-,-
comp13540_c0_seq1|m.6396 comp13540_c0_seq1|g.6396  ,mlei3143,_,2,-,-,-,N,-,517,-,-
comp13541_c0_seq1|m.6397 comp13541_c0_seq1|g.6397  ,mlei3144,_,2,-,-,-,N,-,175,-,-
comp13542_c0_seq1|m.6398 comp13542_c0_seq1|g.6398  ,mlei3145,_,3,-,-,-,N,-,234,-,-
comp13546_c0_seq1|m.6399 comp13546_c0_seq1|g.6399  ,mlei3146,_,3,hsap273,mmus165,-,Y,METAP1D,283,Metap1d,-
comp135496_c0_seq1|m.17931 comp135496_c0_seq1|g.17931  ,mlei3147,M,4,-,-,-,N,-,595,-,-
comp13549_c0_seq1|m.6400 comp13549_c0_seq1|g.6400  ,mlei3148,S,5,-,-,scer71,Y,-,411,-,EHT1
comp1355296_c0_seq1|m.23460 comp1355296_c0_seq1|g.23460  ,mlei3149,_,3,-,-,-,N,-,99,-,-
comp13553_c0_seq1|m.6401 comp13553_c0_seq1|g.6401  ,mlei3150,_,1,-,-,-,N,-,153,-,-
comp13554_c0_seq1|m.6402 comp13554_c0_seq1|g.6402  ,mlei3151,_,3,-,-,-,N,-,608,-,-
comp13555_c0_seq1|m.6405 comp13555_c0_seq1|g.6405  ,mlei3152,_,1,-,-,-,N,-,113,-,-
comp13557_c0_seq1|m.6406 comp13557_c0_seq1|g.6406  ,mlei3153,_,4,-,-,-,N,-,99,-,-
comp13559_c0_seq1|m.6407 comp13559_c0_seq1|g.6407  ,mlei3154,_,4,-,-,-,N,-,303,-,-
comp1355_c0_seq1|m.319 comp1355_c0_seq1|g.319  ,mlei3155,_,1,-,-,-,N,-,125,-,-
comp1356261_c0_seq1|m.23461 comp1356261_c0_seq1|g.23461  ,mlei3156,_,1,-,-,-,N,-,112,-,-
comp13563_c0_seq1|m.6408 comp13563_c0_seq1|g.6408  ,mlei3157,S,2,-,-,-,N,-,272,-,-
comp13567_c0_seq1|m.6409 comp13567_c0_seq1|g.6409  ,mlei3158,_,4,-,-,-,N,-,507,-,-
comp13568_c0_seq1|m.6410 comp13568_c0_seq1|g.6410  ,mlei3159,_,2,-,-,-,N,-,309,-,-
comp13572_c0_seq1|m.6411 comp13572_c0_seq1|g.6411  ,mlei3160,S,1,-,-,-,N,-,184,-,-
comp13574_c0_seq1|m.6412 comp13574_c0_seq1|g.6412  ,mlei3161,_,1,-,-,-,N,-,130,-,-
comp1357576_c0_seq1|m.23463 comp1357576_c0_seq1|g.23463  ,mlei3162,S,1,-,-,-,N,-,124,-,-
comp135757_c0_seq1|m.17932 comp135757_c0_seq1|g.17932  ,mlei3163,_,4,-,-,-,N,-,190,-,-
comp135757_c0_seq2|m.17933 comp135757_c0_seq2|g.17933  ,mlei3164,_,1,-,-,-,N,-,194,-,-
comp135757_c0_seq3|m.17937 comp135757_c0_seq3|g.17937  ,mlei3165,_,1,-,-,-,N,-,101,-,-
comp135757_c0_seq3|m.17935 comp135757_c0_seq3|g.17935  ,mlei3166,_,1,-,-,-,N,-,194,-,-
comp135757_c0_seq4|m.17938 comp135757_c0_seq4|g.17938  ,mlei3167,_,1,-,-,-,N,-,194,-,-
comp135757_c0_seq4|m.17940 comp135757_c0_seq4|g.17940  ,mlei3168,_,1,-,-,-,N,-,101,-,-
comp13576_c0_seq1|m.6414 comp13576_c0_seq1|g.6414  ,mlei3169,_,2,-,-,-,N,-,216,-,-
comp13577_c0_seq1|m.6415 comp13577_c0_seq1|g.6415  ,mlei3170,_,4,-,-,-,N,-,316,-,-
comp13578_c0_seq1|m.6416 comp13578_c0_seq1|g.6416  ,mlei3171,S,1,-,-,-,N,-,211,-,-
comp13581_c0_seq1|m.6419 comp13581_c0_seq1|g.6419  ,mlei3172,_,1,-,-,-,N,-,106,-,-
comp13582_c0_seq1|m.6420 comp13582_c0_seq1|g.6420  ,mlei3173,_,1,-,-,-,N,-,693,-,-
comp13583_c0_seq1|m.6423 comp13583_c0_seq1|g.6423  ,mlei3174,_,2,-,-,-,N,-,103,-,-
comp13583_c0_seq2|m.6424 comp13583_c0_seq2|g.6424  ,mlei3175,_,2,-,-,-,N,-,103,-,-
comp1358481_c0_seq1|m.23464 comp1358481_c0_seq1|g.23464  ,mlei3176,_,1,-,-,-,N,-,143,-,-
comp13585_c0_seq1|m.6425 comp13585_c0_seq1|g.6425  ,mlei3177,_,3,-,-,-,N,-,176,-,-
comp13586_c0_seq1|m.6426 comp13586_c0_seq1|g.6426  ,mlei3178,_,3,-,-,-,N,-,193,-,-
comp13587_c0_seq1|m.6428 comp13587_c0_seq1|g.6428  ,mlei3179,_,1,-,-,-,N,-,306,-,-
comp1359016_c0_seq1|m.23465 comp1359016_c0_seq1|g.23465  ,mlei3180,M,2,-,-,-,Y,-,108,-,-
comp13592_c0_seq1|m.6429 comp13592_c0_seq1|g.6429  ,mlei3181,S,2,-,-,-,N,-,217,-,-
comp13594_c0_seq1|m.6430 comp13594_c0_seq1|g.6430  ,mlei3182,_,2,-,-,-,N,-,577,-,-
comp13595_c0_seq1|m.6431 comp13595_c0_seq1|g.6431  ,mlei3183,S,2,-,-,-,N,-,333,-,-
comp13597_c0_seq1|m.6432 comp13597_c0_seq1|g.6432  ,mlei3184,_,1,-,-,-,N,-,374,-,-
comp13599_c0_seq1|m.6433 comp13599_c0_seq1|g.6433  ,mlei3185,_,4,-,-,-,N,-,254,-,-
comp13601_c0_seq1|m.6434 comp13601_c0_seq1|g.6434  ,mlei3186,_,2,-,-,-,N,-,161,-,-
comp13602_c0_seq1|m.6436 comp13602_c0_seq1|g.6436  ,mlei3187,_,1,-,-,-,N,-,399,-,-
comp13603_c0_seq1|m.6437 comp13603_c0_seq1|g.6437  ,mlei3188,_,3,-,-,-,N,-,167,-,-
comp13604_c0_seq1|m.6438 comp13604_c0_seq1|g.6438  ,mlei3189,_,3,-,-,-,N,-,468,-,-
comp13605_c0_seq1|m.6439 comp13605_c0_seq1|g.6439  ,mlei3190,_,1,-,-,-,N,-,424,-,-
comp13606_c0_seq2|m.6440 comp13606_c0_seq2|g.6440  ,mlei3191,_,3,-,-,-,N,-,338,-,-
comp13608_c0_seq1|m.6441 comp13608_c0_seq1|g.6441  ,mlei3192,S,2,-,-,-,N,-,143,-,-
comp1360910_c0_seq1|m.23466 comp1360910_c0_seq1|g.23466  ,mlei3193,_,1,-,-,-,N,-,156,-,-
comp13610_c0_seq1|m.6442 comp13610_c0_seq1|g.6442  ,mlei3194,_,3,-,-,-,N,-,288,-,-
comp13610_c0_seq2|m.6443 comp13610_c0_seq2|g.6443  ,mlei3195,_,1,-,-,-,N,-,284,-,-
comp13613_c0_seq1|m.6444 comp13613_c0_seq1|g.6444  ,mlei3196,_,3,-,-,-,N,-,280,-,-
comp13615_c0_seq1|m.6445 comp13615_c0_seq1|g.6445  ,mlei3197,_,5,-,-,-,N,-,135,-,-
comp13616_c0_seq1|m.6446 comp13616_c0_seq1|g.6446  ,mlei3198,_,1,-,-,-,N,-,342,-,-
comp13616_c0_seq2|m.6448 comp13616_c0_seq2|g.6448  ,mlei3199,_,1,-,-,-,N,-,307,-,-
comp13617_c0_seq1|m.6449 comp13617_c0_seq1|g.6449  ,mlei3200,S,2,-,-,-,N,-,350,-,-
comp13618_c0_seq1|m.6450 comp13618_c0_seq1|g.6450  ,mlei3201,_,2,-,-,-,N,-,165,-,-
comp13619_c0_seq1|m.6451 comp13619_c0_seq1|g.6451  ,mlei3202,_,3,-,-,-,N,-,379,-,-
comp13621_c0_seq1|m.6452 comp13621_c0_seq1|g.6452  ,mlei3203,S,1,-,-,-,N,-,850,-,-
comp13621_c0_seq1|m.6454 comp13621_c0_seq1|g.6454  ,mlei3204,_,1,-,-,-,N,-,173,-,-
comp13621_c0_seq1|m.6453 comp13621_c0_seq1|g.6453  ,mlei3205,_,4,-,-,-,N,-,190,-,-
comp13623_c0_seq1|m.6456 comp13623_c0_seq1|g.6456  ,mlei3206,_,2,-,-,-,N,-,372,-,-
comp13623_c0_seq2|m.6457 comp13623_c0_seq2|g.6457  ,mlei3207,S,2,-,-,-,N,-,316,-,-
comp13626_c0_seq1|m.6458 comp13626_c0_seq1|g.6458  ,mlei3208,_,1,-,-,-,N,-,101,-,-
comp13627_c0_seq1|m.6459 comp13627_c0_seq1|g.6459  ,mlei3209,S,5,hsap485,mmus1203,scer285,Y,OXSM,419,Oxsm,CEM1
comp1363068_c0_seq1|m.23467 comp1363068_c0_seq1|g.23467  ,mlei3210,S,5,-,-,-,N,-,117,-,-
comp13634_c0_seq1|m.6460 comp13634_c0_seq1|g.6460  ,mlei3211,_,1,-,-,-,N,-,497,-,-
comp13636_c0_seq1|m.6461 comp13636_c0_seq1|g.6461  ,mlei3212,_,2,-,-,-,N,-,433,-,-
comp13637_c0_seq1|m.6462 comp13637_c0_seq1|g.6462  ,mlei3213,_,2,-,-,scer129,Y,-,253,-,NDE2
comp13638_c0_seq1|m.6463 comp13638_c0_seq1|g.6463  ,mlei3214,_,1,-,-,-,N,-,759,-,-
comp13639_c0_seq1|m.6466 comp13639_c0_seq1|g.6466  ,mlei3215,_,3,-,-,-,N,-,245,-,-
comp13641_c0_seq1|m.6467 comp13641_c0_seq1|g.6467  ,mlei3216,_,2,-,-,-,N,-,297,-,-
comp13643_c0_seq1|m.6470 comp13643_c0_seq1|g.6470  ,mlei3217,_,3,-,-,-,N,-,545,-,-
comp13645_c0_seq1|m.6471 comp13645_c0_seq1|g.6471  ,mlei3218,_,1,-,-,-,N,-,563,-,-
comp13651_c0_seq1|m.6472 comp13651_c0_seq1|g.6472  ,mlei3219,_,2,-,-,-,N,-,760,-,-
comp13651_c0_seq2|m.6473 comp13651_c0_seq2|g.6473  ,mlei3220,S,4,-,-,-,N,-,220,-,-
comp13652_c0_seq1|m.6474 comp13652_c0_seq1|g.6474  ,mlei3221,_,1,-,-,scer14,Y,-,471,-,GDH3
comp13653_c0_seq1|m.6475 comp13653_c0_seq1|g.6475  ,mlei3222,S,5,-,-,-,N,-,294,-,-
comp13654_c0_seq1|m.6476 comp13654_c0_seq1|g.6476  ,mlei3223,_,1,-,-,-,N,-,335,-,-
comp13658_c0_seq1|m.6477 comp13658_c0_seq1|g.6477  ,mlei3224,S,5,-,-,-,N,-,151,-,-
comp13661_c0_seq1|m.6478 comp13661_c0_seq1|g.6478  ,mlei3225,_,2,-,-,-,N,-,364,-,-
comp13662_c0_seq1|m.6480 comp13662_c0_seq1|g.6480  ,mlei3226,_,1,-,-,-,N,-,192,-,-
comp13666_c0_seq1|m.6481 comp13666_c0_seq1|g.6481  ,mlei3227,_,1,-,-,-,N,-,208,-,-
comp13667_c0_seq1|m.6482 comp13667_c0_seq1|g.6482  ,mlei3228,_,2,-,-,-,N,-,319,-,-
comp13668_c0_seq1|m.6483 comp13668_c0_seq1|g.6483  ,mlei3229,_,1,-,-,-,N,-,528,-,-
comp13670_c0_seq1|m.6485 comp13670_c0_seq1|g.6485  ,mlei3230,M,1,hsap1138,mmus840,scer842,Y,ABCB7,632,Abcb7,ATM1
comp13671_c0_seq1|m.6486 comp13671_c0_seq1|g.6486  ,mlei3231,_,4,-,-,-,N,-,397,-,-
comp136728_c0_seq1|m.17941 comp136728_c0_seq1|g.17941  ,mlei3232,_,3,-,-,-,N,-,556,-,-
comp13672_c0_seq1|m.6487 comp13672_c0_seq1|g.6487  ,mlei3233,_,1,-,-,-,N,-,278,-,-
comp13673_c0_seq1|m.6488 comp13673_c0_seq1|g.6488  ,mlei3234,_,3,-,-,-,N,-,549,-,-
comp136745_c0_seq1|m.17942 comp136745_c0_seq1|g.17942  ,mlei3235,_,3,-,-,-,N,-,543,-,-
comp136748_c0_seq1|m.17943 comp136748_c0_seq1|g.17943  ,mlei3236,_,2,-,-,-,N,-,100,-,-
comp13674_c0_seq1|m.6489 comp13674_c0_seq1|g.6489  ,mlei3237,_,2,-,-,-,N,-,320,-,-
comp136762_c0_seq1|m.17944 comp136762_c0_seq1|g.17944  ,mlei3238,_,1,-,-,-,N,-,180,-,-
comp1367873_c0_seq1|m.23468 comp1367873_c0_seq1|g.23468  ,mlei3239,M,4,-,-,-,N,-,119,-,-
comp13682_c0_seq1|m.6491 comp13682_c0_seq1|g.6491  ,mlei3240,_,1,-,-,-,N,-,181,-,-
comp13684_c0_seq1|m.6492 comp13684_c0_seq1|g.6492  ,mlei3241,_,1,-,-,-,N,-,557,-,-
comp13685_c0_seq1|m.6495 comp13685_c0_seq1|g.6495  ,mlei3242,_,4,-,-,-,N,-,218,-,-
comp13686_c0_seq1|m.6498 comp13686_c0_seq1|g.6498  ,mlei3243,_,2,-,-,-,N,-,422,-,-
comp13686_c0_seq2|m.6501 comp13686_c0_seq2|g.6501  ,mlei3244,_,2,-,-,-,N,-,422,-,-
comp1368784_c0_seq1|m.23469 comp1368784_c0_seq1|g.23469  ,mlei3245,_,5,-,-,-,N,-,107,-,-
comp13690_c0_seq1|m.6504 comp13690_c0_seq1|g.6504  ,mlei3246,S,1,-,-,-,N,-,273,-,-
comp13691_c0_seq1|m.6505 comp13691_c0_seq1|g.6505  ,mlei3247,_,1,-,-,-,N,-,702,-,-
