Transcript,Protein,TargetP,RC,HSAP_ortho,MMUS_ortho,SCER_ortho,MitoProt,HSAP_Gene,Seqlength,MMUS_Gene
comp288174_c0_seq1,emue1926,M , 2, -, -, -,  Y,-,106,-
comp28828_c0_seq2,emue1927,_ , 3, -, -, -,  N,-,117,-
comp28841_c0_seq1,emue1928,_ , 2, -, -, -,  N,-,121,-
comp28844_c0_seq1,emue1929,_ , 1, -, -, -,  N,-,275,-
comp288484_c0_seq1,emue1930,S , 1, -, -, -,  N,-,168,-
comp288723_c0_seq1,emue1931,_ , 3, -, -, -,  N,-,161,-
comp28874_c0_seq1,emue1932,M , 5, -, -, -,  N,-,117,-
comp28879_c0_seq1,emue1933,_ , 2, -, -, -,  N,-,264,-
comp28888_c0_seq1,emue1934,_ , 4, -, -, -,  N,-,210,-
comp28889_c0_seq1,emue1935,_ , 5, -, -, -,  N,-,113,-
comp28890_c0_seq1,emue1936,_ , 4, -, -, -,  N,-,108,-
comp28891_c0_seq1,emue1937,_ , 4, -, -, -,  N,-,101,-
comp28912_c0_seq1,emue1938,S , 1, -, -, -,  N,-,268,-
comp28913_c0_seq1,emue1939,_ , 3, -, -, -,  N,-,107,-
comp28919_c0_seq1,emue1940,_ , 3, -, -, -,  N,-,276,-
comp289216_c0_seq1,emue1941,_ , 2, -, -, -,  N,-,113,-
comp28926_c0_seq1,emue1942,_ , 1, -, -, -,  N,-,454,-
comp28929_c0_seq1,emue1943,_ , 5, -, -, -,  N,-,204,-
comp28932_c0_seq2,emue1944,_ , 2, -, -, -,  N,-,143,-
comp289830_c0_seq1,emue1945,S , 5, -, -, -,  N,-,103,-
comp289872_c0_seq1,emue1946,_ , 3, -, -, -,  N,-,238,-
comp29023_c0_seq1,emue1947,S , 2, -, -, -,  N,-,608,-
comp29039_c0_seq1,emue1948,S , 3, -, -, -,  N,-,115,-
comp29046_c0_seq1,emue1949,_ , 2, -, -, -,  N,-,100,-
comp29046_c0_seq2,emue1950,_ , 1, -, -, -,  N,-,199,-
comp29049_c0_seq1,emue1951,_ , 4, -, -, -,  N,-,709,-
comp29050_c0_seq1,emue1952,_ , 4, -, -, -,  N,-,213,-
comp290812_c0_seq1,emue1953,M , 3, -, -, -,  Y,-,101,-
comp29081_c0_seq2,emue1954,_ , 2, -, -, -,  N,-,325,-
comp29083_c0_seq1,emue1955,_ , 4, -, -, -,  N,-,279,-
comp29083_c0_seq1,emue1956,_ , 4, hsap2114, mmus606, scer911,  Y,MRPS12,144,Mrps12
comp29107_c0_seq1,emue1957,S , 1, -, -, -,  N,-,590,-
comp29108_c0_seq1,emue1958,_ , 5, -, -, -,  N,-,196,-
comp29116_c0_seq2,emue1959,_ , 5, -, -, -,  N,-,106,-
comp29122_c0_seq1,emue1960,_ , 3, -, -, -,  N,-,178,-
comp29122_c0_seq2,emue1961,_ , 3, -, -, -,  N,-,153,-
comp291592_c0_seq1,emue1962,_ , 3, -, -, -,  N,-,126,-
comp29165_c0_seq1,emue1963,M , 5, -, -, -,  N,-,168,-
comp291752_c0_seq1,emue1964,_ , 2, -, -, -,  N,-,125,-
comp291833_c0_seq1,emue1965,_ , 1, -, -, -,  N,-,103,-
comp291973_c0_seq1,emue1966,_ , 4, -, -, -,  N,-,110,-
comp29219_c0_seq1,emue1967,_ , 1, -, -, -,  N,-,342,-
comp29225_c0_seq1,emue1968,_ , 4, -, -, -,  N,-,374,-
comp29225_c0_seq2,emue1969,M , 5, -, -, -,  N,-,210,-
comp29225_c0_seq2,emue1970,_ , 4, -, -, -,  N,-,172,-
comp29228_c0_seq1,emue1971,M , 4, -, -, -,  N,-,152,-
comp29247_c0_seq1,emue1972,_ , 2, hsap273, mmus165, -,  Y,METAP1D,375,Metap1d
comp29249_c0_seq1,emue1973,_ , 1, -, -, -,  N,-,248,-
comp2924_c0_seq1,emue1974,_ , 2, -, -, -,  N,-,99,-
comp292519_c0_seq1,emue1975,_ , 3, -, -, -,  N,-,112,-
comp29258_c0_seq1,emue1976,S , 1, -, -, -,  N,-,505,-
comp29266_c0_seq1,emue1977,_ , 5, -, -, -,  N,-,140,-
comp292777_c0_seq1,emue1978,_ , 2, -, -, -,  N,-,137,-
comp292866_c0_seq1,emue1979,_ , 1, -, -, -,  N,-,121,-
comp29306_c0_seq1,emue1980,_ , 1, -, -, -,  N,-,147,-
comp293108_c0_seq1,emue1981,_ , 3, -, -, -,  N,-,104,-
comp29315_c0_seq1,emue1982,_ , 1, -, -, -,  N,-,110,-
comp293193_c0_seq1,emue1983,_ , 5, -, -, -,  N,-,119,-
comp293249_c0_seq1,emue1984,_ , 2, -, -, -,  N,-,114,-
comp293253_c0_seq1,emue1985,_ , 3, -, -, -,  N,-,207,-
comp29327_c0_seq1,emue1986,_ , 2, -, -, -,  N,-,123,-
comp29337_c0_seq1,emue1987,_ , 3, -, -, -,  N,-,287,-
comp29338_c0_seq1,emue1988,_ , 4, -, -, -,  N,-,411,-
comp293515_c0_seq1,emue1989,M , 4, -, -, -,  N,-,143,-
comp293571_c0_seq1,emue1990,_ , 2, -, -, -,  N,-,99,-
comp29358_c0_seq1,emue1991,_ , 2, -, -, -,  N,-,105,-
comp293600_c0_seq1,emue1992,_ , 2, -, -, -,  N,-,113,-
comp293629_c0_seq1,emue1993,_ , 3, -, -, -,  N,-,111,-
comp293678_c0_seq1,emue1994,_ , 1, -, -, -,  N,-,139,-
comp29368_c1_seq1,emue1995,_ , 1, -, -, -,  N,-,102,-
comp293692_c0_seq1,emue1996,M , 2, hsap974, mmus222, -,  Y,MRPS28,138,Mrps28
comp293707_c0_seq1,emue1997,_ , 4, -, -, -,  N,-,134,-
comp29380_c0_seq1,emue1998,_ , 1, -, -, -,  N,-,154,-
comp29382_c0_seq1,emue1999,_ , 2, -, -, -,  N,-,101,-
comp293855_c0_seq1,emue2000,_ , 2, -, -, -,  N,-,113,-
comp293858_c0_seq1,emue2001,_ , 1, -, -, -,  N,-,176,-
comp293912_c0_seq1,emue2002,M , 4, -, -, -,  N,-,157,-
comp293924_c0_seq1,emue2003,_ , 2, -, -, -,  N,-,112,-
comp29394_c0_seq2,emue2004,M , 1, hsap646, mmus162, -,  Y,FASTKD3,647,Fastkd1
comp294036_c0_seq1,emue2005,S , 5, -, -, -,  N,-,132,-
comp29403_c0_seq1,emue2006,_ , 2, -, -, -,  N,-,118,-
comp29403_c0_seq2,emue2007,_ , 2, -, -, -,  N,-,108,-
comp294273_c0_seq1,emue2008,_ , 2, -, -, -,  N,-,172,-
comp294281_c0_seq1,emue2009,_ , 2, -, -, -,  N,-,102,-
comp29431_c0_seq1,emue2010,_ , 5, -, -, -,  N,-,188,-
comp29447_c0_seq1,emue2011,_ , 5, -, -, -,  N,-,331,-
comp29447_c0_seq1,emue2012,_ , 2, -, -, -,  N,-,322,-
comp29449_c0_seq1,emue2013,_ , 2, -, -, -,  N,-,102,-
comp29459_c0_seq1,emue2014,_ , 2, -, -, -,  N,-,151,-
comp29460_c0_seq1,emue2015,_ , 1, -, -, -,  N,-,243,-
comp294684_c0_seq1,emue2016,_ , 1, -, -, -,  N,-,124,-
comp294686_c0_seq1,emue2017,_ , 2, -, -, -,  N,-,112,-
comp294699_c0_seq1,emue2018,_ , 1, -, -, -,  N,-,134,-
comp29476_c0_seq1,emue2019,S , 5, -, -, -,  N,-,181,-
comp294825_c0_seq1,emue2020,_ , 2, -, -, -,  N,-,126,-
comp29483_c0_seq1,emue2021,S , 5, -, -, -,  N,-,325,-
comp294853_c0_seq1,emue2022,M , 4, -, -, -,  N,-,103,-
comp29486_c0_seq1,emue2023,_ , 1, -, -, -,  N,-,100,-
comp295194_c0_seq1,emue2024,_ , 2, -, -, -,  N,-,158,-
comp29525_c0_seq1,emue2025,_ , 1, -, -, -,  N,-,182,-
comp2952_c0_seq1,emue2026,_ , 1, -, -, -,  N,-,167,-
comp295443_c0_seq1,emue2027,_ , 2, -, -, -,  N,-,139,-
comp29554_c0_seq2,emue2028,_ , 2, -, -, -,  N,-,1086,-
comp295572_c0_seq1,emue2029,_ , 4, -, -, -,  N,-,100,-
comp29570_c0_seq1,emue2030,_ , 3, -, -, -,  N,-,110,-
comp29574_c0_seq1,emue2031,_ , 4, -, -, -,  N,-,260,-
comp295750_c0_seq1,emue2032,_ , 2, -, -, -,  N,-,101,-
comp295823_c0_seq1,emue2033,_ , 3, -, -, -,  N,-,150,-
comp296021_c0_seq1,emue2034,_ , 1, -, -, -,  N,-,99,-
comp296075_c0_seq1,emue2035,M , 3, -, -, -,  Y,-,99,-
comp29619_c0_seq1,emue2036,_ , 2, -, -, -,  N,-,114,-
comp29624_c0_seq1,emue2037,_ , 1, -, -, -,  N,-,187,-
comp29625_c0_seq1,emue2038,_ , 5, -, -, -,  N,-,163,-
comp296282_c0_seq1,emue2039,_ , 4, -, -, -,  N,-,101,-
comp296332_c0_seq1,emue2040,_ , 1, -, -, -,  N,-,126,-
comp29637_c0_seq1,emue2041,_ , 1, -, -, -,  N,-,237,-
comp296389_c0_seq1,emue2042,_ , 2, -, -, -,  N,-,107,-
comp29642_c0_seq1,emue2043,M , 3, -, -, -,  Y,-,118,-
comp296614_c0_seq1,emue2044,_ , 3, -, -, -,  N,-,118,-
comp29667_c0_seq1,emue2045,_ , 1, -, -, scer1089,  Y,-,464,-
comp296714_c0_seq1,emue2046,_ , 3, -, -, -,  N,-,110,-
comp296819_c0_seq1,emue2047,M , 5, -, -, -,  N,-,161,-
comp296865_c0_seq1,emue2048,M , 5, -, -, -,  N,-,101,-
comp296895_c0_seq1,emue2049,_ , 4, -, -, -,  N,-,103,-
comp29696_c0_seq1,emue2050,_ , 1, -, -, -,  N,-,446,-
comp297033_c0_seq1,emue2051,S , 3, -, -, -,  N,-,111,-
comp29716_c0_seq1,emue2052,S , 2, -, -, -,  N,-,102,-
comp29722_c0_seq1,emue2053,_ , 2, -, -, -,  N,-,103,-
comp29726_c0_seq1,emue2054,_ , 1, -, -, -,  N,-,294,-
comp29729_c0_seq1,emue2055,_ , 2, -, -, -,  N,-,140,-
comp29734_c0_seq1,emue2056,_ , 2, -, -, -,  N,-,519,-
comp29751_c0_seq1,emue2057,S , 4, -, -, -,  N,-,336,-
comp297565_c0_seq1,emue2058,_ , 3, -, -, -,  N,-,120,-
comp29765_c0_seq1,emue2059,_ , 3, hsap1961, mmus1031, -,  Y,SEPT4,346,Sept4
comp297687_c0_seq1,emue2060,_ , 4, -, -, -,  N,-,164,-
comp29774_c0_seq2,emue2061,_ , 3, -, -, -,  N,-,217,-
comp29774_c0_seq2,emue2062,S , 2, -, -, -,  N,-,515,-
comp29779_c0_seq1,emue2063,_ , 3, -, -, -,  N,-,163,-
comp297829_c0_seq1,emue2064,_ , 1, -, -, -,  N,-,146,-
comp297832_c0_seq1,emue2065,_ , 2, -, -, -,  N,-,101,-
comp29785_c0_seq1,emue2066,_ , 2, -, -, -,  N,-,125,-
comp297864_c0_seq1,emue2067,_ , 3, -, -, -,  N,-,114,-
comp297959_c0_seq1,emue2068,_ , 3, -, -, -,  N,-,129,-
comp297_c1_seq1,emue2069,_ , 1, -, -, -,  N,-,108,-
comp29804_c0_seq1,emue2070,_ , 3, -, -, -,  N,-,427,-
comp29805_c0_seq2,emue2071,_ , 2, -, -, -,  N,-,231,-
comp29808_c0_seq1,emue2072,_ , 3, -, -, -,  N,-,137,-
comp29809_c0_seq1,emue2073,_ , 1, -, -, -,  N,-,296,-
comp2980_c0_seq1,emue2074,_ , 2, -, -, -,  N,-,124,-
comp298189_c0_seq1,emue2075,_ , 5, -, -, -,  N,-,147,-
comp29824_c0_seq1,emue2076,_ , 1, -, -, -,  N,-,1134,-
comp298251_c0_seq1,emue2077,M , 5, -, -, -,  N,-,104,-
comp298337_c0_seq1,emue2078,S , 5, -, -, -,  N,-,107,-
comp298406_c0_seq1,emue2079,_ , 1, -, -, -,  N,-,123,-
comp29840_c0_seq1,emue2080,M , 5, -, -, -,  N,-,139,-
comp298519_c0_seq1,emue2081,_ , 4, -, -, -,  N,-,106,-
comp298564_c0_seq1,emue2082,_ , 2, -, -, -,  N,-,123,-
comp29865_c0_seq1,emue2083,_ , 4, -, -, -,  N,-,168,-
comp298720_c0_seq1,emue2084,_ , 2, -, -, -,  N,-,126,-
comp29880_c0_seq1,emue2085,M , 4, -, -, -,  N,-,432,-
comp29880_c1_seq1,emue2086,_ , 2, -, -, -,  N,-,232,-
comp29892_c0_seq1,emue2087,S , 5, -, -, -,  N,-,106,-
comp299086_c0_seq1,emue2088,_ , 4, -, -, -,  N,-,109,-
comp29927_c0_seq1,emue2089,_ , 1, -, -, -,  N,-,125,-
comp29956_c0_seq1,emue2090,M , 3, -, -, -,  Y,-,232,-
comp2997_c0_seq1,emue2091,M , 4, -, -, -,  N,-,153,-
comp300020_c0_seq1,emue2092,S , 5, -, -, -,  N,-,116,-
comp300233_c0_seq1,emue2093,_ , 1, -, -, -,  N,-,125,-
comp30025_c0_seq1,emue2094,_ , 2, -, -, -,  N,-,313,-
comp30030_c0_seq1,emue2095,_ , 1, -, -, -,  N,-,124,-
comp300391_c0_seq1,emue2096,_ , 3, -, -, -,  N,-,120,-
comp30039_c0_seq1,emue2097,_ , 4, -, -, -,  N,-,290,-
comp30043_c0_seq1,emue2098,S , 1, -, -, -,  N,-,100,-
comp30046_c0_seq1,emue2099,_ , 1, -, -, -,  N,-,116,-
comp30056_c0_seq1,emue2100,_ , 1, -, -, scer260,  Y,-,156,-
comp300691_c0_seq1,emue2101,_ , 2, -, -, -,  N,-,102,-
comp30070_c0_seq1,emue2102,_ , 4, -, -, -,  N,-,119,-
comp300767_c0_seq1,emue2103,_ , 1, -, -, -,  N,-,111,-
comp30084_c0_seq1,emue2104,S , 1, -, -, -,  N,-,101,-
comp30084_c0_seq2,emue2105,S , 1, -, -, -,  N,-,132,-
comp30101_c0_seq1,emue2106,_ , 4, -, -, -,  N,-,138,-
comp301044_c0_seq1,emue2107,S , 5, -, -, -,  N,-,113,-
comp30125_c0_seq1,emue2108,_ , 4, -, -, -,  N,-,302,-
comp30127_c0_seq1,emue2109,_ , 1, -, -, -,  N,-,130,-
comp30144_c0_seq1,emue2110,M , 2, -, -, -,  Y,-,120,-
comp30149_c0_seq1,emue2111,S , 1, -, -, -,  N,-,144,-
comp30170_c0_seq1,emue2112,S , 1, -, -, -,  N,-,116,-
comp30183_c0_seq1,emue2113,_ , 4, -, -, -,  N,-,119,-
comp30185_c0_seq1,emue2114,_ , 1, -, -, -,  N,-,126,-
comp30186_c0_seq1,emue2115,M , 2, -, -, -,  Y,-,230,-
comp30213_c0_seq1,emue2116,S , 1, -, -, -,  N,-,112,-
comp30217_c0_seq1,emue2117,_ , 2, -, -, -,  N,-,139,-
comp30218_c0_seq1,emue2118,M , 1, hsap341, mmus41, scer356,  Y,COX5B,143,Cox5b
comp302251_c0_seq1,emue2119,S , 4, -, -, -,  N,-,155,-
comp30236_c0_seq1,emue2120,_ , 2, -, -, -,  N,-,125,-
comp30247_c0_seq1,emue2121,S , 2, -, -, -,  N,-,305,-
comp30248_c0_seq1,emue2122,_ , 3, -, -, -,  N,-,166,-
comp30257_c0_seq1,emue2123,_ , 2, hsap812, mmus1399, scer1005,  Y,AARS2,984,Aars2
comp302638_c0_seq1,emue2124,_ , 5, -, -, -,  N,-,173,-
comp30265_c0_seq1,emue2125,S , 5, -, -, -,  N,-,116,-
comp302757_c0_seq1,emue2126,_ , 4, -, -, -,  N,-,134,-
comp302936_c0_seq1,emue2127,S , 4, -, -, -,  N,-,99,-
comp303138_c0_seq1,emue2128,_ , 1, -, -, -,  N,-,101,-
comp30318_c0_seq2,emue2129,_ , 1, -, -, -,  N,-,201,-
comp30324_c0_seq1,emue2130,M , 2, -, -, -,  Y,-,172,-
comp303548_c0_seq1,emue2131,_ , 2, -, -, -,  N,-,137,-
comp303570_c0_seq1,emue2132,_ , 3, -, -, -,  N,-,210,-
comp30380_c0_seq1,emue2133,_ , 2, -, -, -,  N,-,286,-
comp30386_c0_seq1,emue2134,_ , 4, -, -, -,  N,-,823,-
comp30396_c0_seq1,emue2135,_ , 1, -, -, -,  N,-,106,-
comp30396_c0_seq2,emue2136,_ , 2, -, -, -,  N,-,106,-
comp304007_c0_seq1,emue2137,_ , 2, -, -, -,  N,-,179,-
comp30412_c0_seq1,emue2138,_ , 1, -, -, -,  N,-,327,-
comp30426_c0_seq1,emue2139,S , 4, -, -, -,  N,-,122,-
comp304319_c0_seq1,emue2140,_ , 4, -, -, -,  N,-,120,-
comp304392_c0_seq1,emue2141,_ , 1, -, -, -,  N,-,103,-
comp30445_c0_seq1,emue2142,_ , 4, -, -, -,  N,-,141,-
comp304511_c0_seq1,emue2143,S , 1, -, -, -,  N,-,130,-
comp30466_c0_seq1,emue2144,M , 2, -, -, -,  Y,-,118,-
comp304681_c0_seq1,emue2145,_ , 2, -, -, -,  N,-,129,-
comp30471_c0_seq1,emue2146,_ , 2, -, -, -,  N,-,105,-
comp304723_c0_seq1,emue2147,M , 3, -, -, -,  Y,-,127,-
comp304873_c0_seq1,emue2148,_ , 4, -, -, -,  N,-,163,-
comp304903_c0_seq1,emue2149,_ , 4, -, -, -,  N,-,102,-
comp30495_c0_seq1,emue2150,_ , 2, -, -, -,  N,-,142,-
comp30498_c0_seq1,emue2151,_ , 2, -, -, -,  N,-,213,-
comp305041_c0_seq1,emue2152,_ , 3, -, -, -,  N,-,123,-
comp30506_c0_seq2,emue2153,_ , 4, -, -, -,  N,-,182,-
comp30509_c0_seq1,emue2154,_ , 1, -, -, -,  N,-,280,-
comp30523_c0_seq1,emue2155,M , 4, -, -, -,  N,-,149,-
comp30530_c0_seq1,emue2156,_ , 3, -, -, -,  N,-,121,-
comp30533_c0_seq1,emue2157,_ , 1, -, -, -,  N,-,270,-
comp305355_c0_seq1,emue2158,_ , 2, -, -, -,  N,-,170,-
comp30545_c0_seq1,emue2159,S , 1, -, -, -,  N,-,165,-
comp30555_c0_seq1,emue2160,_ , 1, -, -, -,  N,-,237,-
comp30555_c1_seq1,emue2161,_ , 5, -, -, -,  N,-,245,-
comp30564_c0_seq1,emue2162,_ , 4, -, -, -,  N,-,263,-
comp30567_c0_seq1,emue2163,_ , 2, -, -, -,  N,-,102,-
comp30568_c0_seq1,emue2164,_ , 4, -, -, -,  N,-,252,-
comp30570_c0_seq1,emue2165,_ , 1, -, -, -,  N,-,605,-
comp30576_c0_seq1,emue2166,S , 2, -, -, -,  N,-,304,-
comp30579_c0_seq1,emue2167,_ , 3, -, -, -,  N,-,278,-
comp30585_c0_seq1,emue2168,_ , 3, -, -, -,  N,-,316,-
comp306083_c0_seq1,emue2169,_ , 3, -, -, -,  N,-,182,-
comp306200_c0_seq1,emue2170,_ , 1, -, -, -,  N,-,113,-
comp306291_c0_seq1,emue2171,_ , 1, -, -, -,  N,-,202,-
comp306303_c0_seq1,emue2172,_ , 3, -, -, -,  N,-,115,-
comp306334_c0_seq1,emue2173,_ , 3, -, -, -,  N,-,102,-
comp30655_c0_seq1,emue2174,_ , 2, -, -, -,  N,-,418,-
comp30668_c0_seq2,emue2175,_ , 2, -, -, -,  N,-,356,-
comp30713_c0_seq1,emue2176,_ , 2, -, -, -,  N,-,443,-
comp30718_c0_seq2,emue2177,_ , 1, -, -, -,  N,-,160,-
comp30721_c0_seq2,emue2178,_ , 5, -, -, -,  N,-,120,-
comp30737_c0_seq1,emue2179,_ , 3, -, -, -,  N,-,423,-
comp30737_c0_seq1,emue2180,_ , 2, -, -, -,  N,-,267,-
comp307398_c0_seq1,emue2181,_ , 2, -, -, -,  N,-,141,-
comp30739_c0_seq1,emue2182,_ , 5, -, -, -,  N,-,259,-
comp307418_c0_seq1,emue2183,_ , 5, -, -, -,  N,-,153,-
comp30762_c0_seq1,emue2184,S , 4, -, -, -,  N,-,193,-
comp30783_c0_seq1,emue2185,_ , 4, -, -, -,  N,-,227,-
comp30785_c0_seq1,emue2186,_ , 3, -, -, -,  N,-,138,-
comp30795_c0_seq1,emue2187,_ , 1, -, -, -,  N,-,139,-
comp30809_c0_seq1,emue2188,_ , 2, -, -, -,  N,-,391,-
comp30832_c0_seq1,emue2189,M , 5, -, -, -,  N,-,368,-
comp30853_c1_seq1,emue2190,_ , 1, -, -, -,  N,-,129,-
comp308591_c0_seq1,emue2191,_ , 5, -, -, -,  N,-,138,-
comp30859_c0_seq1,emue2192,M , 2, hsap854, mmus497, scer60,  Y,GARS,706,Gars
comp30859_c0_seq1,emue2193,_ , 2, hsap272, mmus116, -,  Y,METTL8,318,Mettl8
comp3087_c0_seq1,emue2194,_ , 3, -, -, -,  N,-,210,-
comp30884_c0_seq1,emue2195,M , 3, -, -, -,  Y,-,143,-
comp308879_c0_seq1,emue2196,_ , 3, -, -, -,  N,-,127,-
comp30891_c0_seq1,emue2197,_ , 2, -, -, -,  N,-,265,-
comp30893_c0_seq1,emue2198,_ , 3, -, -, -,  N,-,187,-
comp309366_c0_seq1,emue2199,_ , 4, -, -, -,  N,-,112,-
comp30942_c0_seq1,emue2200,_ , 2, -, -, -,  N,-,413,-
comp30949_c0_seq1,emue2201,_ , 5, -, -, -,  N,-,533,-
comp30977_c0_seq2,emue2202,_ , 5, -, -, -,  N,-,121,-
comp309873_c0_seq1,emue2203,M , 5, -, -, -,  N,-,109,-
comp31011_c0_seq1,emue2204,M , 3, -, -, -,  Y,-,172,-
comp31014_c0_seq1,emue2205,_ , 2, -, -, -,  N,-,146,-
comp31024_c0_seq1,emue2206,_ , 2, -, -, scer143,  Y,-,378,-
comp31051_c0_seq1,emue2207,_ , 1, -, -, -,  N,-,179,-
comp31062_c0_seq1,emue2208,_ , 3, -, -, -,  N,-,1705,-
comp31071_c0_seq1,emue2209,_ , 3, -, -, -,  N,-,100,-
comp310814_c0_seq1,emue2210,M , 4, -, -, -,  N,-,137,-
comp31091_c0_seq1,emue2211,M , 5, hsap375, mmus48, scer947,  Y,HSPE1,102,Hspe1
comp31096_c0_seq1,emue2212,S , 3, -, -, -,  N,-,273,-
comp311293_c0_seq1,emue2213,_ , 2, -, -, -,  N,-,126,-
comp31133_c0_seq1,emue2214,_ , 1, -, -, -,  N,-,215,-
comp31133_c0_seq1,emue2215,_ , 1, -, -, -,  N,-,118,-
comp31134_c0_seq1,emue2216,_ , 5, -, -, -,  N,-,128,-
comp31145_c0_seq1,emue2217,_ , 4, -, -, -,  N,-,834,-
comp31148_c0_seq1,emue2218,_ , 1, -, -, -,  N,-,118,-
comp31154_c0_seq1,emue2219,S , 1, -, -, -,  N,-,167,-
comp31173_c0_seq1,emue2220,_ , 4, -, -, -,  N,-,112,-
comp31176_c0_seq1,emue2221,_ , 2, -, -, -,  N,-,195,-
comp31185_c0_seq1,emue2222,S , 4, hsap409, mmus63, -,  Y,ABCB6,885,Abcb6
comp31197_c0_seq1,emue2223,S , 1, -, -, -,  N,-,119,-
comp312053_c0_seq1,emue2224,_ , 4, -, -, -,  N,-,115,-
comp31231_c0_seq1,emue2225,_ , 1, -, -, -,  N,-,217,-
comp31236_c0_seq1,emue2226,_ , 4, -, -, -,  N,-,142,-
comp31240_c0_seq1,emue2227,_ , 4, -, -, -,  N,-,199,-
comp31254_c0_seq1,emue2228,_ , 2, -, -, -,  N,-,164,-
comp31281_c0_seq1,emue2229,_ , 1, -, -, -,  N,-,163,-
comp312849_c0_seq1,emue2230,_ , 2, -, -, -,  N,-,114,-
comp31284_c0_seq1,emue2231,S , 1, -, -, -,  N,-,102,-
comp312981_c0_seq1,emue2232,S , 5, -, -, -,  N,-,110,-
comp31300_c0_seq1,emue2233,_ , 3, -, -, -,  N,-,963,-
comp31307_c0_seq1,emue2234,S , 1, -, -, -,  N,-,194,-
comp31307_c1_seq1,emue2235,_ , 3, -, -, -,  N,-,138,-
comp313203_c0_seq1,emue2236,_ , 2, -, -, -,  N,-,99,-
comp31336_c0_seq1,emue2237,_ , 1, -, -, -,  N,-,108,-
comp31355_c0_seq1,emue2238,M , 5, -, -, -,  N,-,301,-
comp31359_c1_seq1,emue2239,_ , 2, -, -, -,  N,-,99,-
comp31364_c0_seq1,emue2240,_ , 1, -, -, -,  N,-,399,-
comp313829_c0_seq1,emue2241,_ , 1, -, -, -,  N,-,101,-
comp31394_c0_seq1,emue2242,S , 5, -, -, -,  N,-,332,-
comp31396_c0_seq1,emue2243,S , 1, hsap1992, mmus1078, -,  Y,P4HB,501,P4hb
comp31415_c0_seq1,emue2244,M , 3, hsap1038, mmus1271, scer954,  Y,CYC1,302,Cyc1
comp31436_c0_seq2,emue2245,S , 2, -, -, -,  N,-,414,-
comp31439_c0_seq1,emue2246,_ , 3, -, -, -,  N,-,209,-
comp31440_c0_seq1,emue2247,_ , 4, -, -, -,  N,-,443,-
comp31453_c0_seq1,emue2248,_ , 2, -, -, -,  N,-,179,-
comp31453_c0_seq1,emue2249,_ , 1, -, -, -,  N,-,274,-
comp31453_c0_seq1,emue2250,M , 3, -, -, -,  Y,-,237,-
comp31461_c0_seq1,emue2251,_ , 1, -, -, -,  N,-,149,-
comp31489_c0_seq1,emue2252,M , 5, -, -, -,  N,-,263,-
comp3153_c0_seq1,emue2253,_ , 1, -, -, -,  N,-,140,-
comp3155_c0_seq1,emue2254,S , 1, -, -, -,  N,-,122,-
comp31562_c0_seq1,emue2255,_ , 3, -, -, -,  N,-,255,-
comp31567_c0_seq1,emue2256,_ , 5, -, -, -,  N,-,246,-
comp31567_c0_seq2,emue2257,_ , 5, -, -, -,  N,-,221,-
comp31579_c0_seq1,emue2258,_ , 2, -, -, -,  N,-,162,-
comp31588_c0_seq1,emue2259,S , 1, -, -, -,  N,-,112,-
comp31602_c0_seq1,emue2260,_ , 2, -, -, -,  N,-,293,-
comp316242_c0_seq1,emue2261,S , 5, -, -, -,  N,-,107,-
comp316471_c0_seq1,emue2262,_ , 2, -, -, -,  N,-,127,-
comp31662_c0_seq1,emue2263,_ , 2, -, -, -,  N,-,254,-
comp31685_c0_seq1,emue2264,_ , 1, -, -, -,  N,-,364,-
comp31688_c0_seq1,emue2265,M , 3, hsap399, mmus59, scer126,  Y,IDH1,438,Idh1
comp31691_c0_seq1,emue2266,_ , 2, -, -, scer912,  Y,-,152,-
comp31696_c0_seq1,emue2267,_ , 3, -, -, -,  N,-,205,-
comp31698_c0_seq1,emue2268,M , 5, hsap569, mmus287, -,  Y,CISD2,167,Cisd2
comp317025_c0_seq1,emue2269,M , 3, -, -, -,  Y,-,153,-
comp31713_c0_seq1,emue2270,_ , 3, -, -, -,  N,-,183,-
comp3172_c0_seq1,emue2271,_ , 2, -, -, -,  N,-,118,-
comp31736_c0_seq1,emue2272,_ , 2, -, -, -,  N,-,115,-
comp31760_c0_seq1,emue2273,_ , 2, -, -, -,  N,-,400,-
comp31779_c0_seq1,emue2274,_ , 4, -, -, -,  N,-,180,-
comp318237_c0_seq1,emue2275,M , 3, -, -, -,  Y,-,104,-
comp31844_c0_seq1,emue2276,_ , 3, -, -, -,  N,-,528,-
comp318471_c0_seq1,emue2277,_ , 3, -, -, -,  N,-,114,-
comp31848_c0_seq1,emue2278,_ , 2, -, -, -,  N,-,431,-
comp31865_c0_seq1,emue2279,S , 3, -, -, -,  N,-,117,-
comp31879_c0_seq1,emue2280,_ , 2, -, -, -,  N,-,281,-
comp31901_c0_seq1,emue2281,M , 4, -, -, -,  N,-,239,-
comp319055_c0_seq1,emue2282,S , 1, -, -, -,  N,-,130,-
comp31921_c0_seq1,emue2283,_ , 4, -, -, -,  N,-,120,-
comp31926_c0_seq1,emue2284,_ , 3, -, -, -,  N,-,105,-
comp31932_c0_seq1,emue2285,_ , 5, -, -, -,  N,-,351,-
comp31940_c0_seq1,emue2286,M , 4, hsap1228, mmus131, scer44,  Y,ATP5C1,300,Atp5c1
