transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
gb|GBGI01006729.1||m.5394 gb|GBGI01006729.1||g.5394  ,kiwa5112,_,1,-,-,-,N,-,132,-,-
gb|GBGI01006730.1||m.5395 gb|GBGI01006730.1||g.5395  ,kiwa5113,_,2,-,-,-,N,-,136,-,-
gb|GBGI01006731.1||m.5396 gb|GBGI01006731.1||g.5396  ,kiwa5114,_,1,-,-,-,N,-,125,-,-
gb|GBGI01006732.1||m.5397 gb|GBGI01006732.1||g.5397  ,kiwa5115,_,1,-,-,-,N,-,287,-,-
gb|GBGI01006733.1||m.5398 gb|GBGI01006733.1||g.5398  ,kiwa5116,_,2,-,-,-,N,-,136,-,-
gb|GBGI01006734.1||m.5399 gb|GBGI01006734.1||g.5399  ,kiwa5117,_,1,-,-,-,N,-,327,-,-
gb|GBGI01006735.1||m.5400 gb|GBGI01006735.1||g.5400  ,kiwa5118,_,1,-,-,-,N,-,304,-,-
gb|GBGI01006736.1||m.5402 gb|GBGI01006736.1||g.5402  ,kiwa5119,_,1,-,-,-,N,-,125,-,-
gb|GBGI01006736.1||m.5401 gb|GBGI01006736.1||g.5401  ,kiwa5120,_,2,-,-,-,N,-,136,-,-
gb|GBGI01006737.1||m.5403 gb|GBGI01006737.1||g.5403  ,kiwa5121,_,2,-,-,-,N,-,136,-,-
gb|GBGI01006738.1||m.5404 gb|GBGI01006738.1||g.5404  ,kiwa5122,_,1,-,-,-,N,-,320,-,-
gb|GBGI01006739.1||m.5405 gb|GBGI01006739.1||g.5405  ,kiwa5123,_,1,-,-,-,N,-,125,-,-
gb|GBGI01006739.1||m.5406 gb|GBGI01006739.1||g.5406  ,kiwa5124,_,1,-,-,-,N,-,115,-,-
gb|GBGI01006741.1||m.5407 gb|GBGI01006741.1||g.5407  ,kiwa5125,_,1,-,-,-,N,-,246,-,-
gb|GBGI01006742.1||m.5408 gb|GBGI01006742.1||g.5408  ,kiwa5126,_,1,-,-,-,N,-,246,-,-
gb|GBGI01006743.1||m.5410 gb|GBGI01006743.1||g.5410  ,kiwa5127,_,1,-,-,-,N,-,194,-,-
gb|GBGI01006743.1||m.5409 gb|GBGI01006743.1||g.5409  ,kiwa5128,S,1,-,-,-,N,-,248,-,-
gb|GBGI01006744.1||m.5412 gb|GBGI01006744.1||g.5412  ,kiwa5129,S,1,-,-,-,N,-,420,-,-
gb|GBGI01006752.1||m.5414 gb|GBGI01006752.1||g.5414  ,kiwa5130,_,4,-,-,-,N,-,542,-,-
gb|GBGI01006753.1||m.5415 gb|GBGI01006753.1||g.5415  ,kiwa5131,_,4,-,-,-,N,-,575,-,-
gb|GBGI01006754.1||m.5416 gb|GBGI01006754.1||g.5416  ,kiwa5132,_,4,-,-,-,N,-,133,-,-
gb|GBGI01006758.1||m.5417 gb|GBGI01006758.1||g.5417  ,kiwa5133,_,1,-,-,-,N,-,288,-,-
gb|GBGI01006759.1||m.5418 gb|GBGI01006759.1||g.5418  ,kiwa5134,_,1,-,-,-,N,-,288,-,-
gb|GBGI01006760.1||m.5419 gb|GBGI01006760.1||g.5419  ,kiwa5135,M,2,-,-,-,Y,-,475,-,-
gb|GBGI01006761.1||m.5420 gb|GBGI01006761.1||g.5420  ,kiwa5136,M,2,hsap200,mmus88,-,Y,NDUFS2,515,Ndufs2,-
gb|GBGI01006762.1||m.5421 gb|GBGI01006762.1||g.5421  ,kiwa5137,_,3,-,-,-,N,-,391,-,-
gb|GBGI01006762.1||m.5422 gb|GBGI01006762.1||g.5422  ,kiwa5138,_,3,-,-,-,N,-,110,-,-
gb|GBGI01006763.1||m.5423 gb|GBGI01006763.1||g.5423  ,kiwa5139,_,2,-,-,-,N,-,850,-,-
gb|GBGI01006764.1||m.5424 gb|GBGI01006764.1||g.5424  ,kiwa5140,_,2,-,-,-,N,-,940,-,-
gb|GBGI01006765.1||m.5425 gb|GBGI01006765.1||g.5425  ,kiwa5141,S,2,-,-,-,N,-,495,-,-
gb|GBGI01006765.1||m.5426 gb|GBGI01006765.1||g.5426  ,kiwa5142,_,2,-,-,-,N,-,413,-,-
gb|GBGI01006767.1||m.5427 gb|GBGI01006767.1||g.5427  ,kiwa5143,S,2,-,-,scer80,Y,-,922,-,ROT2
gb|GBGI01006768.1||m.5428 gb|GBGI01006768.1||g.5428  ,kiwa5144,_,5,-,-,-,N,-,100,-,-
gb|GBGI01006769.1||m.5429 gb|GBGI01006769.1||g.5429  ,kiwa5145,_,5,-,-,-,N,-,100,-,-
gb|GBGI01006771.1||m.5430 gb|GBGI01006771.1||g.5430  ,kiwa5146,_,5,-,-,-,N,-,112,-,-
gb|GBGI01006772.1||m.5431 gb|GBGI01006772.1||g.5431  ,kiwa5147,_,5,-,-,-,N,-,112,-,-
gb|GBGI01006773.1||m.5432 gb|GBGI01006773.1||g.5432  ,kiwa5148,_,3,hsap378,mmus52,scer407,Y,MARS2,786,Mars2,MSM1
gb|GBGI01006778.1||m.5433 gb|GBGI01006778.1||g.5433  ,kiwa5149,_,2,-,-,-,N,-,327,-,-
gb|GBGI01006779.1||m.5434 gb|GBGI01006779.1||g.5434  ,kiwa5150,_,2,-,-,-,N,-,327,-,-
gb|GBGI01006780.1||m.5436 gb|GBGI01006780.1||g.5436  ,kiwa5151,_,1,-,-,-,N,-,147,-,-
gb|GBGI01006780.1||m.5435 gb|GBGI01006780.1||g.5435  ,kiwa5152,_,2,-,-,-,N,-,172,-,-
gb|GBGI01006781.1||m.5437 gb|GBGI01006781.1||g.5437  ,kiwa5153,_,2,-,-,-,N,-,327,-,-
gb|GBGI01006782.1||m.5438 gb|GBGI01006782.1||g.5438  ,kiwa5154,_,2,-,-,-,N,-,305,-,-
gb|GBGI01006783.1||m.5440 gb|GBGI01006783.1||g.5440  ,kiwa5155,_,1,-,-,-,N,-,147,-,-
gb|GBGI01006783.1||m.5439 gb|GBGI01006783.1||g.5439  ,kiwa5156,_,2,-,-,-,N,-,172,-,-
gb|GBGI01006784.1||m.5441 gb|GBGI01006784.1||g.5441  ,kiwa5157,_,2,-,-,-,N,-,265,-,-
gb|GBGI01006785.1||m.5442 gb|GBGI01006785.1||g.5442  ,kiwa5158,_,2,-,-,-,N,-,327,-,-
gb|GBGI01006786.1||m.5444 gb|GBGI01006786.1||g.5444  ,kiwa5159,_,1,-,-,-,N,-,147,-,-
gb|GBGI01006786.1||m.5443 gb|GBGI01006786.1||g.5443  ,kiwa5160,_,2,-,-,-,N,-,172,-,-
gb|GBGI01006794.1||m.5445 gb|GBGI01006794.1||g.5445  ,kiwa5161,_,1,-,-,-,N,-,205,-,-
gb|GBGI01006795.1||m.5446 gb|GBGI01006795.1||g.5446  ,kiwa5162,_,1,-,-,-,N,-,205,-,-
gb|GBGI01006795.1||m.5447 gb|GBGI01006795.1||g.5447  ,kiwa5163,_,1,-,-,-,N,-,179,-,-
gb|GBGI01006797.1||m.5448 gb|GBGI01006797.1||g.5448  ,kiwa5164,_,1,-,-,-,N,-,394,-,-
gb|GBGI01006798.1||m.5449 gb|GBGI01006798.1||g.5449  ,kiwa5165,_,1,-,-,-,N,-,303,-,-
gb|GBGI01006799.1||m.5450 gb|GBGI01006799.1||g.5450  ,kiwa5166,_,1,-,-,-,N,-,205,-,-
gb|GBGI01006799.1||m.5451 gb|GBGI01006799.1||g.5451  ,kiwa5167,_,1,-,-,-,N,-,133,-,-
gb|GBGI01006800.1||m.5452 gb|GBGI01006800.1||g.5452  ,kiwa5168,_,1,-,-,-,N,-,205,-,-
gb|GBGI01006801.1||m.5453 gb|GBGI01006801.1||g.5453  ,kiwa5169,_,1,-,-,-,N,-,348,-,-
gb|GBGI01006804.1||m.5454 gb|GBGI01006804.1||g.5454  ,kiwa5170,_,2,-,-,-,N,-,111,-,-
gb|GBGI01006805.1||m.5455 gb|GBGI01006805.1||g.5455  ,kiwa5171,_,1,-,-,-,N,-,180,-,-
gb|GBGI01006806.1||m.5456 gb|GBGI01006806.1||g.5456  ,kiwa5172,S,1,-,-,-,N,-,142,-,-
gb|GBGI01006807.1||m.5457 gb|GBGI01006807.1||g.5457  ,kiwa5173,_,3,-,-,-,N,-,207,-,-
gb|GBGI01006808.1||m.5458 gb|GBGI01006808.1||g.5458  ,kiwa5174,_,4,-,-,-,N,-,165,-,-
gb|GBGI01006810.1||m.5459 gb|GBGI01006810.1||g.5459  ,kiwa5175,_,2,-,-,-,N,-,105,-,-
gb|GBGI01006812.1||m.5460 gb|GBGI01006812.1||g.5460  ,kiwa5176,_,1,-,-,-,N,-,156,-,-
gb|GBGI01006813.1||m.5461 gb|GBGI01006813.1||g.5461  ,kiwa5177,_,2,-,-,-,N,-,627,-,-
gb|GBGI01006821.1||m.5462 gb|GBGI01006821.1||g.5462  ,kiwa5178,_,3,-,-,-,N,-,129,-,-
gb|GBGI01006822.1||m.5463 gb|GBGI01006822.1||g.5463  ,kiwa5179,_,3,-,-,-,N,-,100,-,-
gb|GBGI01006823.1||m.5464 gb|GBGI01006823.1||g.5464  ,kiwa5180,_,3,-,-,-,N,-,129,-,-
gb|GBGI01006824.1||m.5465 gb|GBGI01006824.1||g.5465  ,kiwa5181,_,3,-,-,-,N,-,273,-,-
gb|GBGI01006829.1||m.5466 gb|GBGI01006829.1||g.5466  ,kiwa5182,S,1,-,-,-,N,-,497,-,-
gb|GBGI01006830.1||m.5467 gb|GBGI01006830.1||g.5467  ,kiwa5183,_,5,hsap1958,mmus1036,scer1043,Y,COX11,233,Cox11,COX11
gb|GBGI01006831.1||m.5468 gb|GBGI01006831.1||g.5468  ,kiwa5184,_,5,hsap1957,-,-,Y,COX11,192,-,-
gb|GBGI01006832.1||m.5469 gb|GBGI01006832.1||g.5469  ,kiwa5185,_,1,hsap447,mmus1351,-,Y,CPOX,349,Cpox,-
gb|GBGI01006833.1||m.5470 gb|GBGI01006833.1||g.5470  ,kiwa5186,_,1,-,-,-,N,-,238,-,-
gb|GBGI01006834.1||m.5472 gb|GBGI01006834.1||g.5472  ,kiwa5187,_,1,-,-,-,N,-,253,-,-
gb|GBGI01006834.1||m.5471 gb|GBGI01006834.1||g.5471  ,kiwa5188,M,5,hsap217,mmus102,scer1021,Y,IARS2,807,Iars2,ISM1
gb|GBGI01006835.1||m.5473 gb|GBGI01006835.1||g.5473  ,kiwa5189,_,1,-,-,-,N,-,253,-,-
gb|GBGI01006836.1||m.5474 gb|GBGI01006836.1||g.5474  ,kiwa5190,_,5,-,-,-,N,-,246,-,-
gb|GBGI01006837.1||m.5475 gb|GBGI01006837.1||g.5475  ,kiwa5191,_,1,-,-,-,N,-,440,-,-
gb|GBGI01006838.1||m.5476 gb|GBGI01006838.1||g.5476  ,kiwa5192,M,5,hsap340,mmus185,scer84,Y,MRPS5,225,Mrps5,MRPS5
gb|GBGI01006838.1||m.5477 gb|GBGI01006838.1||g.5477  ,kiwa5193,M,4,-,-,-,N,-,155,-,-
gb|GBGI01006839.1||m.5478 gb|GBGI01006839.1||g.5478  ,kiwa5194,_,3,-,-,-,N,-,158,-,-
gb|GBGI01006839.1||m.5479 gb|GBGI01006839.1||g.5479  ,kiwa5195,M,4,-,-,-,N,-,155,-,-
gb|GBGI01006840.1||m.5480 gb|GBGI01006840.1||g.5480  ,kiwa5196,S,1,-,-,-,N,-,170,-,-
gb|GBGI01006841.1||m.5481 gb|GBGI01006841.1||g.5481  ,kiwa5197,_,5,-,-,-,N,-,232,-,-
gb|GBGI01006842.1||m.5482 gb|GBGI01006842.1||g.5482  ,kiwa5198,S,1,-,-,-,N,-,165,-,-
gb|GBGI01006843.1||m.5483 gb|GBGI01006843.1||g.5483  ,kiwa5199,_,2,-,-,-,N,-,121,-,-
gb|GBGI01006845.1||m.5484 gb|GBGI01006845.1||g.5484  ,kiwa5200,_,3,-,-,-,N,-,987,-,-
gb|GBGI01006846.1||m.5485 gb|GBGI01006846.1||g.5485  ,kiwa5201,_,3,-,-,-,N,-,939,-,-
gb|GBGI01006847.1||m.5486 gb|GBGI01006847.1||g.5486  ,kiwa5202,_,3,-,-,-,N,-,131,-,-
gb|GBGI01006848.1||m.5488 gb|GBGI01006848.1||g.5488  ,kiwa5203,_,3,-,-,-,N,-,131,-,-
gb|GBGI01006849.1||m.5489 gb|GBGI01006849.1||g.5489  ,kiwa5204,_,3,-,-,-,N,-,131,-,-
gb|GBGI01006850.1||m.5491 gb|GBGI01006850.1||g.5491  ,kiwa5205,_,3,-,-,-,N,-,131,-,-
gb|GBGI01006851.1||m.5492 gb|GBGI01006851.1||g.5492  ,kiwa5206,_,3,-,-,-,N,-,131,-,-
gb|GBGI01006852.1||m.5493 gb|GBGI01006852.1||g.5493  ,kiwa5207,_,3,-,-,-,N,-,131,-,-
gb|GBGI01006853.1||m.5494 gb|GBGI01006853.1||g.5494  ,kiwa5208,_,3,-,-,-,N,-,131,-,-
gb|GBGI01006854.1||m.5496 gb|GBGI01006854.1||g.5496  ,kiwa5209,_,3,-,-,-,N,-,131,-,-
gb|GBGI01006855.1||m.5497 gb|GBGI01006855.1||g.5497  ,kiwa5210,_,3,-,-,-,N,-,131,-,-
gb|GBGI01006856.1||m.5498 gb|GBGI01006856.1||g.5498  ,kiwa5211,_,4,-,-,-,N,-,285,-,-
gb|GBGI01006857.1||m.5499 gb|GBGI01006857.1||g.5499  ,kiwa5212,_,3,-,-,-,N,-,299,-,-
gb|GBGI01006858.1||m.5500 gb|GBGI01006858.1||g.5500  ,kiwa5213,_,1,-,-,-,N,-,1045,-,-
gb|GBGI01006861.1||m.5501 gb|GBGI01006861.1||g.5501  ,kiwa5214,_,1,-,-,-,N,-,128,-,-
gb|GBGI01006862.1||m.5502 gb|GBGI01006862.1||g.5502  ,kiwa5215,_,2,-,-,-,N,-,618,-,-
gb|GBGI01006864.1||m.5503 gb|GBGI01006864.1||g.5503  ,kiwa5216,_,2,-,-,-,N,-,271,-,-
gb|GBGI01006865.1||m.5504 gb|GBGI01006865.1||g.5504  ,kiwa5217,_,5,-,-,-,N,-,127,-,-
gb|GBGI01006865.1||m.5505 gb|GBGI01006865.1||g.5505  ,kiwa5218,_,2,-,-,-,N,-,122,-,-
gb|GBGI01006869.1||m.5506 gb|GBGI01006869.1||g.5506  ,kiwa5219,S,2,-,-,-,N,-,1079,-,-
gb|GBGI01006871.1||m.5507 gb|GBGI01006871.1||g.5507  ,kiwa5220,_,2,-,-,-,N,-,126,-,-
gb|GBGI01006872.1||m.5508 gb|GBGI01006872.1||g.5508  ,kiwa5221,_,1,-,-,-,N,-,106,-,-
gb|GBGI01006874.1||m.5509 gb|GBGI01006874.1||g.5509  ,kiwa5222,_,2,-,-,-,N,-,151,-,-
gb|GBGI01006878.1||m.5510 gb|GBGI01006878.1||g.5510  ,kiwa5223,_,1,-,-,-,N,-,158,-,-
gb|GBGI01006879.1||m.5511 gb|GBGI01006879.1||g.5511  ,kiwa5224,_,1,hsap1206,-,-,Y,MCU,152,-,-
gb|GBGI01006881.1||m.5512 gb|GBGI01006881.1||g.5512  ,kiwa5225,_,1,-,-,-,N,-,151,-,-
gb|GBGI01006885.1||m.5513 gb|GBGI01006885.1||g.5513  ,kiwa5226,_,1,-,mmus887,-,Y,-,168,Mcu,-
gb|GBGI01006891.1||m.5514 gb|GBGI01006891.1||g.5514  ,kiwa5227,_,2,-,-,-,N,-,157,-,-
gb|GBGI01006892.1||m.5515 gb|GBGI01006892.1||g.5515  ,kiwa5228,_,2,-,-,-,N,-,166,-,-
gb|GBGI01006893.1||m.5516 gb|GBGI01006893.1||g.5516  ,kiwa5229,_,2,-,-,-,N,-,157,-,-
gb|GBGI01006899.1||m.5517 gb|GBGI01006899.1||g.5517  ,kiwa5230,_,1,-,-,-,N,-,399,-,-
gb|GBGI01006900.1||m.5518 gb|GBGI01006900.1||g.5518  ,kiwa5231,_,1,-,-,-,N,-,330,-,-
gb|GBGI01006905.1||m.5519 gb|GBGI01006905.1||g.5519  ,kiwa5232,S,5,-,-,-,N,-,338,-,-
gb|GBGI01006906.1||m.5520 gb|GBGI01006906.1||g.5520  ,kiwa5233,S,5,-,-,-,N,-,338,-,-
gb|GBGI01006907.1||m.5521 gb|GBGI01006907.1||g.5521  ,kiwa5234,_,3,-,-,-,N,-,351,-,-
gb|GBGI01006908.1||m.5522 gb|GBGI01006908.1||g.5522  ,kiwa5235,S,1,-,-,-,N,-,316,-,-
gb|GBGI01006911.1||m.5523 gb|GBGI01006911.1||g.5523  ,kiwa5236,S,5,-,-,scer259,Y,-,1190,-,SPF1
gb|GBGI01006912.1||m.5524 gb|GBGI01006912.1||g.5524  ,kiwa5237,S,1,-,-,-,N,-,265,-,-
gb|GBGI01006912.1||m.5526 gb|GBGI01006912.1||g.5526  ,kiwa5238,S,5,-,-,-,N,-,150,-,-
gb|GBGI01006912.1||m.5525 gb|GBGI01006912.1||g.5525  ,kiwa5239,_,4,-,-,-,N,-,241,-,-
gb|GBGI01006913.1||m.5527 gb|GBGI01006913.1||g.5527  ,kiwa5240,_,4,-,-,-,N,-,313,-,-
gb|GBGI01006913.1||m.5528 gb|GBGI01006913.1||g.5528  ,kiwa5241,_,1,-,-,-,N,-,182,-,-
gb|GBGI01006913.1||m.5529 gb|GBGI01006913.1||g.5529  ,kiwa5242,S,5,-,-,-,N,-,150,-,-
gb|GBGI01006914.1||m.5532 gb|GBGI01006914.1||g.5532  ,kiwa5243,_,4,-,-,-,N,-,141,-,-
gb|GBGI01006914.1||m.5531 gb|GBGI01006914.1||g.5531  ,kiwa5244,S,5,-,-,-,N,-,150,-,-
gb|GBGI01006914.1||m.5530 gb|GBGI01006914.1||g.5530  ,kiwa5245,_,4,-,-,-,N,-,352,-,-
gb|GBGI01006915.1||m.5533 gb|GBGI01006915.1||g.5533  ,kiwa5246,_,4,-,-,-,N,-,241,-,-
gb|GBGI01006915.1||m.5536 gb|GBGI01006915.1||g.5536  ,kiwa5247,S,1,-,-,-,N,-,121,-,-
gb|GBGI01006915.1||m.5534 gb|GBGI01006915.1||g.5534  ,kiwa5248,S,5,-,-,-,N,-,150,-,-
gb|GBGI01006915.1||m.5535 gb|GBGI01006915.1||g.5535  ,kiwa5249,_,4,-,-,-,N,-,141,-,-
gb|GBGI01006916.1||m.5537 gb|GBGI01006916.1||g.5537  ,kiwa5250,_,4,-,-,-,N,-,241,-,-
gb|GBGI01006916.1||m.5538 gb|GBGI01006916.1||g.5538  ,kiwa5251,S,5,-,-,-,N,-,150,-,-
gb|GBGI01006916.1||m.5539 gb|GBGI01006916.1||g.5539  ,kiwa5252,_,4,-,-,-,N,-,141,-,-
gb|GBGI01006917.1||m.5541 gb|GBGI01006917.1||g.5541  ,kiwa5253,_,1,-,-,-,N,-,182,-,-
gb|GBGI01006917.1||m.5542 gb|GBGI01006917.1||g.5542  ,kiwa5254,S,5,-,-,-,N,-,150,-,-
gb|GBGI01006917.1||m.5540 gb|GBGI01006917.1||g.5540  ,kiwa5255,_,4,-,-,-,N,-,241,-,-
gb|GBGI01006918.1||m.5543 gb|GBGI01006918.1||g.5543  ,kiwa5256,_,4,-,-,-,N,-,496,-,-
gb|GBGI01006918.1||m.5544 gb|GBGI01006918.1||g.5544  ,kiwa5257,S,5,-,-,-,N,-,150,-,-
gb|GBGI01006919.1||m.5547 gb|GBGI01006919.1||g.5547  ,kiwa5258,_,1,-,-,-,N,-,130,-,-
gb|GBGI01006919.1||m.5545 gb|GBGI01006919.1||g.5545  ,kiwa5259,_,1,-,-,-,N,-,1195,-,-
gb|GBGI01006920.1||m.5548 gb|GBGI01006920.1||g.5548  ,kiwa5260,_,1,-,-,-,N,-,164,-,-
gb|GBGI01006921.1||m.5549 gb|GBGI01006921.1||g.5549  ,kiwa5261,_,2,-,-,-,N,-,219,-,-
gb|GBGI01006921.1||m.5550 gb|GBGI01006921.1||g.5550  ,kiwa5262,_,1,-,-,-,N,-,124,-,-
gb|GBGI01006922.1||m.5551 gb|GBGI01006922.1||g.5551  ,kiwa5263,_,3,-,-,-,N,-,122,-,-
gb|GBGI01006923.1||m.5552 gb|GBGI01006923.1||g.5552  ,kiwa5264,_,1,-,-,-,N,-,277,-,-
gb|GBGI01006924.1||m.5553 gb|GBGI01006924.1||g.5553  ,kiwa5265,_,1,hsap1164,mmus438,scer437,Y,GK,377,Gk2,GUT1
gb|GBGI01006932.1||m.5554 gb|GBGI01006932.1||g.5554  ,kiwa5266,_,2,-,-,-,N,-,453,-,-
gb|GBGI01006933.1||m.5555 gb|GBGI01006933.1||g.5555  ,kiwa5267,_,2,-,-,-,N,-,468,-,-
gb|GBGI01006934.1||m.5556 gb|GBGI01006934.1||g.5556  ,kiwa5268,_,2,-,-,-,N,-,482,-,-
gb|GBGI01006935.1||m.5557 gb|GBGI01006935.1||g.5557  ,kiwa5269,_,2,-,-,-,N,-,439,-,-
gb|GBGI01006936.1||m.5558 gb|GBGI01006936.1||g.5558  ,kiwa5270,_,2,-,-,-,N,-,454,-,-
gb|GBGI01006940.1||m.5559 gb|GBGI01006940.1||g.5559  ,kiwa5271,_,2,-,-,-,N,-,690,-,-
gb|GBGI01006941.1||m.5561 gb|GBGI01006941.1||g.5561  ,kiwa5272,_,2,-,-,-,N,-,709,-,-
gb|GBGI01006946.1||m.5563 gb|GBGI01006946.1||g.5563  ,kiwa5273,_,2,hsap2258,mmus1275,scer680,Y,TXN2,108,Txn2,TRX1
gb|GBGI01006947.1||m.5564 gb|GBGI01006947.1||g.5564  ,kiwa5274,_,1,-,-,-,N,-,410,-,-
gb|GBGI01006948.1||m.5565 gb|GBGI01006948.1||g.5565  ,kiwa5275,S,5,hsap704,mmus1434,-,Y,SLC25A46,359,Slc25a46,-
gb|GBGI01006951.1||m.5566 gb|GBGI01006951.1||g.5566  ,kiwa5276,_,4,-,-,-,N,-,626,-,-
gb|GBGI01006952.1||m.5567 gb|GBGI01006952.1||g.5567  ,kiwa5277,M,5,-,-,-,N,-,201,-,-
gb|GBGI01006953.1||m.5569 gb|GBGI01006953.1||g.5569  ,kiwa5278,_,5,-,-,-,N,-,196,-,-
gb|GBGI01006953.1||m.5568 gb|GBGI01006953.1||g.5568  ,kiwa5279,_,4,-,-,-,N,-,433,-,-
gb|GBGI01006954.1||m.5571 gb|GBGI01006954.1||g.5571  ,kiwa5280,_,5,-,-,-,N,-,168,-,-
gb|GBGI01006954.1||m.5570 gb|GBGI01006954.1||g.5570  ,kiwa5281,_,1,-,-,-,N,-,222,-,-
gb|GBGI01006955.1||m.5572 gb|GBGI01006955.1||g.5572  ,kiwa5282,_,1,-,-,-,N,-,408,-,-
gb|GBGI01006956.1||m.5573 gb|GBGI01006956.1||g.5573  ,kiwa5283,_,1,-,-,-,N,-,222,-,-
gb|GBGI01006957.1||m.5574 gb|GBGI01006957.1||g.5574  ,kiwa5284,_,1,-,-,-,N,-,320,-,-
gb|GBGI01006958.1||m.5575 gb|GBGI01006958.1||g.5575  ,kiwa5285,_,3,-,-,-,N,-,316,-,-
gb|GBGI01006962.1||m.5576 gb|GBGI01006962.1||g.5576  ,kiwa5286,_,1,-,-,-,N,-,258,-,-
gb|GBGI01006964.1||m.5577 gb|GBGI01006964.1||g.5577  ,kiwa5287,_,2,-,-,-,N,-,627,-,-
gb|GBGI01006964.1||m.5578 gb|GBGI01006964.1||g.5578  ,kiwa5288,_,1,-,-,-,N,-,190,-,-
gb|GBGI01006965.1||m.5580 gb|GBGI01006965.1||g.5580  ,kiwa5289,_,1,-,-,-,N,-,187,-,-
gb|GBGI01006965.1||m.5579 gb|GBGI01006965.1||g.5579  ,kiwa5290,_,2,-,-,scer796,Y,-,627,-,CTF18
gb|GBGI01006971.1||m.5581 gb|GBGI01006971.1||g.5581  ,kiwa5291,_,4,hsap255,mmus980,-,Y,MDH1,337,Mdh1,-
gb|GBGI01006972.1||m.5582 gb|GBGI01006972.1||g.5582  ,kiwa5292,_,1,-,-,-,N,-,691,-,-
gb|GBGI01006979.1||m.5583 gb|GBGI01006979.1||g.5583  ,kiwa5293,_,1,-,-,-,N,-,309,-,-
gb|GBGI01006981.1||m.5584 gb|GBGI01006981.1||g.5584  ,kiwa5294,_,4,-,-,-,N,-,315,-,-
gb|GBGI01006983.1||m.5585 gb|GBGI01006983.1||g.5585  ,kiwa5295,_,4,-,-,-,N,-,302,-,-
gb|GBGI01006984.1||m.5586 gb|GBGI01006984.1||g.5586  ,kiwa5296,_,1,-,-,-,N,-,210,-,-
gb|GBGI01006985.1||m.5587 gb|GBGI01006985.1||g.5587  ,kiwa5297,_,4,-,-,-,N,-,401,-,-
gb|GBGI01006986.1||m.5588 gb|GBGI01006986.1||g.5588  ,kiwa5298,_,4,-,-,-,N,-,296,-,-
gb|GBGI01006987.1||m.5589 gb|GBGI01006987.1||g.5589  ,kiwa5299,S,1,-,-,-,N,-,134,-,-
gb|GBGI01006988.1||m.5591 gb|GBGI01006988.1||g.5591  ,kiwa5300,S,1,-,-,-,N,-,134,-,-
gb|GBGI01006988.1||m.5590 gb|GBGI01006988.1||g.5590  ,kiwa5301,S,1,-,-,-,N,-,146,-,-
gb|GBGI01006989.1||m.5592 gb|GBGI01006989.1||g.5592  ,kiwa5302,S,1,-,-,-,N,-,134,-,-
gb|GBGI01006990.1||m.5593 gb|GBGI01006990.1||g.5593  ,kiwa5303,_,2,-,-,-,N,-,171,-,-
gb|GBGI01006991.1||m.5594 gb|GBGI01006991.1||g.5594  ,kiwa5304,_,2,-,-,-,N,-,327,-,-
gb|GBGI01006992.1||m.5596 gb|GBGI01006992.1||g.5596  ,kiwa5305,_,2,-,-,-,N,-,106,-,-
gb|GBGI01006992.1||m.5595 gb|GBGI01006992.1||g.5595  ,kiwa5306,_,2,-,-,-,N,-,171,-,-
gb|GBGI01006993.1||m.5597 gb|GBGI01006993.1||g.5597  ,kiwa5307,_,2,-,-,-,N,-,171,-,-
gb|GBGI01006994.1||m.5598 gb|GBGI01006994.1||g.5598  ,kiwa5308,_,2,-,-,-,N,-,171,-,-
gb|GBGI01006994.1||m.5599 gb|GBGI01006994.1||g.5599  ,kiwa5309,_,2,-,-,-,N,-,161,-,-
gb|GBGI01006995.1||m.5601 gb|GBGI01006995.1||g.5601  ,kiwa5310,_,2,-,-,-,N,-,161,-,-
gb|GBGI01006995.1||m.5600 gb|GBGI01006995.1||g.5600  ,kiwa5311,_,2,-,-,-,N,-,171,-,-
gb|GBGI01006996.1||m.5602 gb|GBGI01006996.1||g.5602  ,kiwa5312,_,2,-,-,-,N,-,327,-,-
gb|GBGI01006997.1||m.5604 gb|GBGI01006997.1||g.5604  ,kiwa5313,_,2,-,-,-,N,-,106,-,-
gb|GBGI01006997.1||m.5603 gb|GBGI01006997.1||g.5603  ,kiwa5314,_,2,-,-,-,N,-,171,-,-
gb|GBGI01006998.1||m.5605 gb|GBGI01006998.1||g.5605  ,kiwa5315,_,2,-,-,-,N,-,171,-,-
gb|GBGI01006999.1||m.5606 gb|GBGI01006999.1||g.5606  ,kiwa5316,_,1,-,-,-,N,-,196,-,-
gb|GBGI01007000.1||m.5607 gb|GBGI01007000.1||g.5607  ,kiwa5317,_,2,-,-,scer1086,Y,-,327,-,YMC1
gb|GBGI01007001.1||m.5608 gb|GBGI01007001.1||g.5608  ,kiwa5318,_,1,-,-,-,N,-,196,-,-
gb|GBGI01007002.1||m.5609 gb|GBGI01007002.1||g.5609  ,kiwa5319,_,2,-,-,-,N,-,272,-,-
gb|GBGI01007006.1||m.5610 gb|GBGI01007006.1||g.5610  ,kiwa5320,_,1,-,-,-,N,-,501,-,-
gb|GBGI01007007.1||m.5612 gb|GBGI01007007.1||g.5612  ,kiwa5321,_,1,-,-,-,N,-,517,-,-
