transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
gi|671189287|gb|GBGH01022312.1||m.34018 gi|671189287|gb|GBGH01022312.1||g.34018  ,phyd1876,_,1,-,-,-,N,-,190,-,-
gi|671189288|gb|GBGH01022311.1||m.34016 gi|671189288|gb|GBGH01022311.1||g.34016  ,phyd1877,S,3,-,-,-,N,-,241,-,-
gi|671189289|gb|GBGH01022310.1||m.34015 gi|671189289|gb|GBGH01022310.1||g.34015  ,phyd1878,_,2,-,-,-,N,-,143,-,-
gi|671189290|gb|GBGH01022309.1||m.34014 gi|671189290|gb|GBGH01022309.1||g.34014  ,phyd1879,_,5,-,-,-,N,-,149,-,-
gi|671189292|gb|GBGH01022307.1||m.34011 gi|671189292|gb|GBGH01022307.1||g.34011  ,phyd1880,S,1,-,-,-,N,-,683,-,-
gi|671189294|gb|GBGH01022305.1||m.34008 gi|671189294|gb|GBGH01022305.1||g.34008  ,phyd1881,_,5,-,-,-,N,-,606,-,-
gi|671189295|gb|GBGH01022304.1||m.34007 gi|671189295|gb|GBGH01022304.1||g.34007  ,phyd1882,M,5,-,-,-,N,-,379,-,-
gi|671189296|gb|GBGH01022303.1||m.34006 gi|671189296|gb|GBGH01022303.1||g.34006  ,phyd1883,M,4,-,-,-,N,-,510,-,-
gi|671189297|gb|GBGH01022302.1||m.34004 gi|671189297|gb|GBGH01022302.1||g.34004  ,phyd1884,S,1,-,-,-,N,-,328,-,-
gi|671189298|gb|GBGH01022301.1||m.34003 gi|671189298|gb|GBGH01022301.1||g.34003  ,phyd1885,_,3,-,-,-,N,-,118,-,-
gi|671189299|gb|GBGH01022300.1||m.34001 gi|671189299|gb|GBGH01022300.1||g.34001  ,phyd1886,_,2,-,-,-,N,-,122,-,-
gi|671189300|gb|GBGH01022299.1||m.33998 gi|671189300|gb|GBGH01022299.1||g.33998  ,phyd1887,M,5,-,-,-,N,-,470,-,-
gi|671189301|gb|GBGH01022298.1||m.33996 gi|671189301|gb|GBGH01022298.1||g.33996  ,phyd1888,_,5,-,-,-,N,-,365,-,-
gi|671189302|gb|GBGH01022297.1||m.33995 gi|671189302|gb|GBGH01022297.1||g.33995  ,phyd1889,_,1,-,-,-,N,-,517,-,-
gi|671189303|gb|GBGH01022296.1||m.33992 gi|671189303|gb|GBGH01022296.1||g.33992  ,phyd1890,M,2,-,-,-,Y,-,1731,-,-
gi|671189304|gb|GBGH01022295.1||m.33990 gi|671189304|gb|GBGH01022295.1||g.33990  ,phyd1891,_,2,-,-,-,N,-,153,-,-
gi|671189305|gb|GBGH01022294.1||m.33988 gi|671189305|gb|GBGH01022294.1||g.33988  ,phyd1892,_,1,-,-,-,N,-,144,-,-
gi|671189306|gb|GBGH01022293.1||m.33987 gi|671189306|gb|GBGH01022293.1||g.33987  ,phyd1893,_,5,-,-,-,N,-,109,-,-
gi|671189307|gb|GBGH01022292.1||m.33985 gi|671189307|gb|GBGH01022292.1||g.33985  ,phyd1894,M,3,-,-,-,Y,-,422,-,-
gi|671189308|gb|GBGH01022291.1||m.33982 gi|671189308|gb|GBGH01022291.1||g.33982  ,phyd1895,_,2,-,-,-,N,-,283,-,-
gi|671189309|gb|GBGH01022290.1||m.33974 gi|671189309|gb|GBGH01022290.1||g.33974  ,phyd1896,_,2,-,-,-,N,-,1563,-,-
gi|671189310|gb|GBGH01022289.1||m.33973 gi|671189310|gb|GBGH01022289.1||g.33973  ,phyd1897,S,5,-,-,-,N,-,780,-,-
gi|671189311|gb|GBGH01022288.1||m.33972 gi|671189311|gb|GBGH01022288.1||g.33972  ,phyd1898,_,1,-,-,-,N,-,121,-,-
gi|671189312|gb|GBGH01022287.1||m.33971 gi|671189312|gb|GBGH01022287.1||g.33971  ,phyd1899,M,2,-,-,-,Y,-,182,-,-
gi|671189313|gb|GBGH01022286.1||m.33970 gi|671189313|gb|GBGH01022286.1||g.33970  ,phyd1900,M,4,-,-,-,N,-,152,-,-
gi|671189314|gb|GBGH01022285.1||m.33967 gi|671189314|gb|GBGH01022285.1||g.33967  ,phyd1901,_,2,-,-,-,N,-,228,-,-
gi|671189315|gb|GBGH01022284.1||m.33964 gi|671189315|gb|GBGH01022284.1||g.33964  ,phyd1902,M,1,hsap137,-,-,Y,ACADM,431,-,-
gi|671189316|gb|GBGH01022283.1||m.33962 gi|671189316|gb|GBGH01022283.1||g.33962  ,phyd1903,_,2,-,-,-,N,-,348,-,-
gi|671189317|gb|GBGH01022282.1||m.33961 gi|671189317|gb|GBGH01022282.1||g.33961  ,phyd1904,_,2,-,-,-,N,-,102,-,-
gi|671189318|gb|GBGH01022281.1||m.33957 gi|671189318|gb|GBGH01022281.1||g.33957  ,phyd1905,_,1,-,-,-,N,-,675,-,-
gi|671189319|gb|GBGH01022280.1||m.33955 gi|671189319|gb|GBGH01022280.1||g.33955  ,phyd1906,_,4,-,-,-,N,-,405,-,-
gi|671189320|gb|GBGH01022279.1||m.33954 gi|671189320|gb|GBGH01022279.1||g.33954  ,phyd1907,_,2,-,-,-,N,-,333,-,-
gi|671189321|gb|GBGH01022278.1||m.33952 gi|671189321|gb|GBGH01022278.1||g.33952  ,phyd1908,M,2,-,-,-,Y,-,159,-,-
gi|671189321|gb|GBGH01022278.1||m.33949 gi|671189321|gb|GBGH01022278.1||g.33949  ,phyd1909,_,2,-,-,-,N,-,368,-,-
gi|671189322|gb|GBGH01022277.1||m.33947 gi|671189322|gb|GBGH01022277.1||g.33947  ,phyd1910,_,2,-,-,-,N,-,399,-,-
gi|671189324|gb|GBGH01022275.1||m.33946 gi|671189324|gb|GBGH01022275.1||g.33946  ,phyd1911,_,1,-,-,-,N,-,451,-,-
gi|671189325|gb|GBGH01022274.1||m.33944 gi|671189325|gb|GBGH01022274.1||g.33944  ,phyd1912,_,1,-,-,-,N,-,790,-,-
gi|671189326|gb|GBGH01022273.1||m.33942 gi|671189326|gb|GBGH01022273.1||g.33942  ,phyd1913,_,1,-,-,-,N,-,369,-,-
gi|671189327|gb|GBGH01022272.1||m.33938 gi|671189327|gb|GBGH01022272.1||g.33938  ,phyd1914,_,3,-,-,-,N,-,455,-,-
gi|671189328|gb|GBGH01022271.1||m.33934 gi|671189328|gb|GBGH01022271.1||g.33934  ,phyd1915,_,3,-,-,-,N,-,968,-,-
gi|671189329|gb|GBGH01022270.1||m.33932 gi|671189329|gb|GBGH01022270.1||g.33932  ,phyd1916,_,3,-,-,-,N,-,177,-,-
gi|671189331|gb|GBGH01022268.1||m.33930 gi|671189331|gb|GBGH01022268.1||g.33930  ,phyd1917,_,1,-,-,-,N,-,401,-,-
gi|671189332|gb|GBGH01022267.1||m.33929 gi|671189332|gb|GBGH01022267.1||g.33929  ,phyd1918,M,5,-,-,-,N,-,281,-,-
gi|671189333|gb|GBGH01022266.1||m.33925 gi|671189333|gb|GBGH01022266.1||g.33925  ,phyd1919,S,3,-,-,-,N,-,553,-,-
gi|671189334|gb|GBGH01022265.1||m.33924 gi|671189334|gb|GBGH01022265.1||g.33924  ,phyd1920,S,5,-,-,-,N,-,284,-,-
gi|671189335|gb|GBGH01022264.1||m.33923 gi|671189335|gb|GBGH01022264.1||g.33923  ,phyd1921,_,1,-,-,-,N,-,101,-,-
gi|671189336|gb|GBGH01022263.1||m.33922 gi|671189336|gb|GBGH01022263.1||g.33922  ,phyd1922,_,3,-,-,-,N,-,123,-,-
gi|671189337|gb|GBGH01022262.1||m.33921 gi|671189337|gb|GBGH01022262.1||g.33921  ,phyd1923,_,1,-,-,-,N,-,726,-,-
gi|671189338|gb|GBGH01022261.1||m.33920 gi|671189338|gb|GBGH01022261.1||g.33920  ,phyd1924,_,1,-,-,-,N,-,159,-,-
gi|671189339|gb|GBGH01022260.1||m.33919 gi|671189339|gb|GBGH01022260.1||g.33919  ,phyd1925,_,5,-,-,-,N,-,261,-,-
gi|671189340|gb|GBGH01022259.1||m.33916 gi|671189340|gb|GBGH01022259.1||g.33916  ,phyd1926,_,1,-,-,-,N,-,261,-,-
gi|671189341|gb|GBGH01022258.1||m.33915 gi|671189341|gb|GBGH01022258.1||g.33915  ,phyd1927,_,5,-,-,-,N,-,496,-,-
gi|671189342|gb|GBGH01022257.1||m.33914 gi|671189342|gb|GBGH01022257.1||g.33914  ,phyd1928,_,2,-,-,-,N,-,185,-,-
gi|671189343|gb|GBGH01022256.1||m.33912 gi|671189343|gb|GBGH01022256.1||g.33912  ,phyd1929,_,1,-,-,-,N,-,664,-,-
gi|671189344|gb|GBGH01022255.1||m.33908 gi|671189344|gb|GBGH01022255.1||g.33908  ,phyd1930,_,2,-,-,-,N,-,1515,-,-
gi|671189346|gb|GBGH01022253.1||m.33904 gi|671189346|gb|GBGH01022253.1||g.33904  ,phyd1931,_,2,-,-,-,N,-,1063,-,-
gi|671189347|gb|GBGH01022252.1||m.33900 gi|671189347|gb|GBGH01022252.1||g.33900  ,phyd1932,_,1,-,-,-,N,-,813,-,-
gi|671189348|gb|GBGH01022251.1||m.33899 gi|671189348|gb|GBGH01022251.1||g.33899  ,phyd1933,_,2,-,-,-,N,-,200,-,-
gi|671189349|gb|GBGH01022250.1||m.33897 gi|671189349|gb|GBGH01022250.1||g.33897  ,phyd1934,_,3,-,-,-,N,-,262,-,-
gi|671189350|gb|GBGH01022249.1||m.33896 gi|671189350|gb|GBGH01022249.1||g.33896  ,phyd1935,_,3,-,-,-,N,-,116,-,-
gi|671189351|gb|GBGH01022248.1||m.33895 gi|671189351|gb|GBGH01022248.1||g.33895  ,phyd1936,S,5,-,-,-,N,-,145,-,-
gi|671189352|gb|GBGH01022247.1||m.33894 gi|671189352|gb|GBGH01022247.1||g.33894  ,phyd1937,_,2,-,-,-,N,-,400,-,-
gi|671189354|gb|GBGH01022245.1||m.33889 gi|671189354|gb|GBGH01022245.1||g.33889  ,phyd1938,_,2,-,-,-,N,-,604,-,-
gi|671189355|gb|GBGH01022244.1||m.33887 gi|671189355|gb|GBGH01022244.1||g.33887  ,phyd1939,_,2,-,-,-,N,-,315,-,-
gi|671189356|gb|GBGH01022243.1||m.33884 gi|671189356|gb|GBGH01022243.1||g.33884  ,phyd1940,_,1,-,-,-,N,-,876,-,-
gi|671189357|gb|GBGH01022242.1||m.33883 gi|671189357|gb|GBGH01022242.1||g.33883  ,phyd1941,_,3,-,-,-,N,-,170,-,-
gi|671189358|gb|GBGH01022241.1||m.33880 gi|671189358|gb|GBGH01022241.1||g.33880  ,phyd1942,M,3,-,-,-,Y,-,1748,-,-
gi|671189359|gb|GBGH01022240.1||m.33878 gi|671189359|gb|GBGH01022240.1||g.33878  ,phyd1943,_,2,-,-,-,N,-,326,-,-
gi|671189360|gb|GBGH01022239.1||m.33877 gi|671189360|gb|GBGH01022239.1||g.33877  ,phyd1944,_,2,-,-,-,N,-,129,-,-
gi|671189361|gb|GBGH01022238.1||m.33875 gi|671189361|gb|GBGH01022238.1||g.33875  ,phyd1945,M,3,-,-,-,Y,-,513,-,-
gi|671189362|gb|GBGH01022237.1||m.33874 gi|671189362|gb|GBGH01022237.1||g.33874  ,phyd1946,_,1,-,-,-,N,-,237,-,-
gi|671189363|gb|GBGH01022236.1||m.33873 gi|671189363|gb|GBGH01022236.1||g.33873  ,phyd1947,_,3,-,-,-,N,-,149,-,-
gi|671189364|gb|GBGH01022235.1||m.33872 gi|671189364|gb|GBGH01022235.1||g.33872  ,phyd1948,_,1,-,-,-,N,-,113,-,-
gi|671189365|gb|GBGH01022234.1||m.33871 gi|671189365|gb|GBGH01022234.1||g.33871  ,phyd1949,_,5,-,-,-,N,-,446,-,-
gi|671189366|gb|GBGH01022233.1||m.33869 gi|671189366|gb|GBGH01022233.1||g.33869  ,phyd1950,M,3,-,-,-,Y,-,525,-,-
gi|671189367|gb|GBGH01022232.1||m.33868 gi|671189367|gb|GBGH01022232.1||g.33868  ,phyd1951,M,3,-,-,-,Y,-,141,-,-
gi|671189368|gb|GBGH01022231.1||m.33866 gi|671189368|gb|GBGH01022231.1||g.33866  ,phyd1952,_,3,-,-,-,N,-,175,-,-
gi|671189369|gb|GBGH01022230.1||m.33864 gi|671189369|gb|GBGH01022230.1||g.33864  ,phyd1953,_,1,-,-,-,N,-,876,-,-
gi|671189370|gb|GBGH01022229.1||m.33863 gi|671189370|gb|GBGH01022229.1||g.33863  ,phyd1954,S,5,-,-,-,N,-,449,-,-
gi|671189371|gb|GBGH01022228.1||m.33861 gi|671189371|gb|GBGH01022228.1||g.33861  ,phyd1955,_,1,-,-,-,N,-,611,-,-
gi|671189372|gb|GBGH01022227.1||m.33860 gi|671189372|gb|GBGH01022227.1||g.33860  ,phyd1956,_,3,-,-,-,N,-,147,-,-
gi|671189373|gb|GBGH01022226.1||m.33859 gi|671189373|gb|GBGH01022226.1||g.33859  ,phyd1957,_,2,-,-,-,N,-,309,-,-
gi|671189374|gb|GBGH01022225.1||m.33858 gi|671189374|gb|GBGH01022225.1||g.33858  ,phyd1958,_,1,-,-,-,N,-,356,-,-
gi|671189375|gb|GBGH01022224.1||m.33857 gi|671189375|gb|GBGH01022224.1||g.33857  ,phyd1959,S,3,-,-,-,N,-,105,-,-
gi|671189376|gb|GBGH01022223.1||m.33855 gi|671189376|gb|GBGH01022223.1||g.33855  ,phyd1960,S,3,-,-,-,N,-,742,-,-
gi|671189377|gb|GBGH01022222.1||m.33854 gi|671189377|gb|GBGH01022222.1||g.33854  ,phyd1961,M,4,-,-,-,N,-,324,-,-
gi|671189378|gb|GBGH01022221.1||m.33852 gi|671189378|gb|GBGH01022221.1||g.33852  ,phyd1962,_,1,-,-,-,N,-,194,-,-
gi|671189380|gb|GBGH01022219.1||m.33851 gi|671189380|gb|GBGH01022219.1||g.33851  ,phyd1963,_,3,-,-,-,N,-,385,-,-
gi|671189381|gb|GBGH01022218.1||m.33849 gi|671189381|gb|GBGH01022218.1||g.33849  ,phyd1964,_,2,-,-,-,N,-,1125,-,-
gi|671189382|gb|GBGH01022217.1||m.33848 gi|671189382|gb|GBGH01022217.1||g.33848  ,phyd1965,_,5,-,-,-,N,-,242,-,-
gi|671189383|gb|GBGH01022216.1||m.33845 gi|671189383|gb|GBGH01022216.1||g.33845  ,phyd1966,_,4,-,-,-,N,-,450,-,-
gi|671189384|gb|GBGH01022215.1||m.33843 gi|671189384|gb|GBGH01022215.1||g.33843  ,phyd1967,_,1,-,-,-,N,-,367,-,-
gi|671189385|gb|GBGH01022214.1||m.33841 gi|671189385|gb|GBGH01022214.1||g.33841  ,phyd1968,M,2,hsap1288,mmus1508,-,Y,C10orf2,761,Peo1,-
gi|671189386|gb|GBGH01022213.1||m.33840 gi|671189386|gb|GBGH01022213.1||g.33840  ,phyd1969,_,4,-,-,-,N,-,370,-,-
gi|671189387|gb|GBGH01022212.1||m.33837 gi|671189387|gb|GBGH01022212.1||g.33837  ,phyd1970,_,1,-,-,-,N,-,505,-,-
gi|671189388|gb|GBGH01022211.1||m.33835 gi|671189388|gb|GBGH01022211.1||g.33835  ,phyd1971,M,4,-,-,-,N,-,357,-,-
gi|671189388|gb|GBGH01022211.1||m.33834 gi|671189388|gb|GBGH01022211.1||g.33834  ,phyd1972,_,2,-,-,-,N,-,721,-,-
gi|671189389|gb|GBGH01022210.1||m.33833 gi|671189389|gb|GBGH01022210.1||g.33833  ,phyd1973,_,5,-,-,-,N,-,729,-,-
gi|671189390|gb|GBGH01022209.1||m.33831 gi|671189390|gb|GBGH01022209.1||g.33831  ,phyd1974,_,2,-,-,-,N,-,418,-,-
gi|671189391|gb|GBGH01022208.1||m.33830 gi|671189391|gb|GBGH01022208.1||g.33830  ,phyd1975,M,3,-,-,-,Y,-,138,-,-
gi|671189392|gb|GBGH01022207.1||m.33828 gi|671189392|gb|GBGH01022207.1||g.33828  ,phyd1976,M,4,-,-,-,N,-,578,-,-
gi|671189393|gb|GBGH01022206.1||m.33827 gi|671189393|gb|GBGH01022206.1||g.33827  ,phyd1977,_,2,-,-,-,N,-,487,-,-
gi|671189394|gb|GBGH01022205.1||m.33825 gi|671189394|gb|GBGH01022205.1||g.33825  ,phyd1978,S,1,-,-,-,N,-,172,-,-
gi|671189395|gb|GBGH01022204.1||m.33824 gi|671189395|gb|GBGH01022204.1||g.33824  ,phyd1979,M,3,-,-,-,Y,-,134,-,-
gi|671189396|gb|GBGH01022203.1||m.33823 gi|671189396|gb|GBGH01022203.1||g.33823  ,phyd1980,_,3,-,-,-,N,-,140,-,-
gi|671189397|gb|GBGH01022202.1||m.33821 gi|671189397|gb|GBGH01022202.1||g.33821  ,phyd1981,M,5,-,-,-,N,-,204,-,-
gi|671189399|gb|GBGH01022200.1||m.33820 gi|671189399|gb|GBGH01022200.1||g.33820  ,phyd1982,_,1,-,-,-,N,-,477,-,-
gi|671189400|gb|GBGH01022199.1||m.33818 gi|671189400|gb|GBGH01022199.1||g.33818  ,phyd1983,_,1,-,-,-,N,-,413,-,-
gi|671189401|gb|GBGH01022198.1||m.33816 gi|671189401|gb|GBGH01022198.1||g.33816  ,phyd1984,M,3,hsap1816,mmus728,scer614,Y,GOT2,438,Got2,AAT1
gi|671189402|gb|GBGH01022197.1||m.33814 gi|671189402|gb|GBGH01022197.1||g.33814  ,phyd1985,M,5,-,-,-,N,-,310,-,-
gi|671189403|gb|GBGH01022196.1||m.33812 gi|671189403|gb|GBGH01022196.1||g.33812  ,phyd1986,_,2,-,-,-,N,-,273,-,-
gi|671189404|gb|GBGH01022195.1||m.33809 gi|671189404|gb|GBGH01022195.1||g.33809  ,phyd1987,_,5,-,-,-,N,-,292,-,-
gi|671189405|gb|GBGH01022194.1||m.33808 gi|671189405|gb|GBGH01022194.1||g.33808  ,phyd1988,_,2,-,-,-,N,-,121,-,-
gi|671189406|gb|GBGH01022193.1||m.33806 gi|671189406|gb|GBGH01022193.1||g.33806  ,phyd1989,_,4,-,-,-,N,-,263,-,-
gi|671189407|gb|GBGH01022192.1||m.33805 gi|671189407|gb|GBGH01022192.1||g.33805  ,phyd1990,M,1,-,-,-,Y,-,146,-,-
gi|671189408|gb|GBGH01022191.1||m.33804 gi|671189408|gb|GBGH01022191.1||g.33804  ,phyd1991,_,2,-,-,-,N,-,223,-,-
gi|671189409|gb|GBGH01022190.1||m.33803 gi|671189409|gb|GBGH01022190.1||g.33803  ,phyd1992,_,4,-,-,-,N,-,189,-,-
gi|671189410|gb|GBGH01022189.1||m.33802 gi|671189410|gb|GBGH01022189.1||g.33802  ,phyd1993,S,1,-,-,-,N,-,487,-,-
gi|671189411|gb|GBGH01022188.1||m.33801 gi|671189411|gb|GBGH01022188.1||g.33801  ,phyd1994,M,5,-,-,-,N,-,320,-,-
gi|671189412|gb|GBGH01022187.1||m.33800 gi|671189412|gb|GBGH01022187.1||g.33800  ,phyd1995,_,1,-,-,-,N,-,505,-,-
gi|671189413|gb|GBGH01022186.1||m.33799 gi|671189413|gb|GBGH01022186.1||g.33799  ,phyd1996,M,5,-,-,-,N,-,223,-,-
gi|671189414|gb|GBGH01022185.1||m.33793 gi|671189414|gb|GBGH01022185.1||g.33793  ,phyd1997,_,2,-,-,-,N,-,1408,-,-
gi|671189415|gb|GBGH01022184.1||m.33792 gi|671189415|gb|GBGH01022184.1||g.33792  ,phyd1998,_,4,-,-,-,N,-,150,-,-
gi|671189416|gb|GBGH01022183.1||m.33791 gi|671189416|gb|GBGH01022183.1||g.33791  ,phyd1999,_,4,-,-,-,N,-,246,-,-
gi|671189417|gb|GBGH01022182.1||m.33788 gi|671189417|gb|GBGH01022182.1||g.33788  ,phyd2000,_,3,-,-,-,N,-,464,-,-
gi|671189417|gb|GBGH01022182.1||m.33790 gi|671189417|gb|GBGH01022182.1||g.33790  ,phyd2001,M,4,-,-,-,N,-,133,-,-
gi|671189418|gb|GBGH01022181.1||m.33785 gi|671189418|gb|GBGH01022181.1||g.33785  ,phyd2002,M,4,-,-,-,N,-,223,-,-
gi|671189418|gb|GBGH01022181.1||m.33784 gi|671189418|gb|GBGH01022181.1||g.33784  ,phyd2003,M,5,-,-,-,N,-,1030,-,-
gi|671189419|gb|GBGH01022180.1||m.33783 gi|671189419|gb|GBGH01022180.1||g.33783  ,phyd2004,_,2,-,-,-,N,-,532,-,-
gi|671189420|gb|GBGH01022179.1||m.33782 gi|671189420|gb|GBGH01022179.1||g.33782  ,phyd2005,_,3,-,-,-,N,-,115,-,-
gi|671189421|gb|GBGH01022178.1||m.33780 gi|671189421|gb|GBGH01022178.1||g.33780  ,phyd2006,S,1,-,-,-,N,-,216,-,-
gi|671189422|gb|GBGH01022177.1||m.33778 gi|671189422|gb|GBGH01022177.1||g.33778  ,phyd2007,_,1,-,-,-,N,-,401,-,-
gi|671189423|gb|GBGH01022176.1||m.33777 gi|671189423|gb|GBGH01022176.1||g.33777  ,phyd2008,_,2,-,-,-,N,-,151,-,-
gi|671189424|gb|GBGH01022175.1||m.33776 gi|671189424|gb|GBGH01022175.1||g.33776  ,phyd2009,_,3,-,-,-,N,-,158,-,-
gi|671189425|gb|GBGH01022174.1||m.33771 gi|671189425|gb|GBGH01022174.1||g.33771  ,phyd2010,_,1,-,-,-,N,-,852,-,-
gi|671189426|gb|GBGH01022173.1||m.33769 gi|671189426|gb|GBGH01022173.1||g.33769  ,phyd2011,M,5,hsap2148,-,-,Y,ACSS1,705,-,-
gi|671189427|gb|GBGH01022172.1||m.33767 gi|671189427|gb|GBGH01022172.1||g.33767  ,phyd2012,_,1,-,-,-,N,-,968,-,-
gi|671189428|gb|GBGH01022171.1||m.33766 gi|671189428|gb|GBGH01022171.1||g.33766  ,phyd2013,_,2,-,-,-,N,-,341,-,-
gi|671189429|gb|GBGH01022170.1||m.33764 gi|671189429|gb|GBGH01022170.1||g.33764  ,phyd2014,M,2,-,-,-,Y,-,244,-,-
gi|671189430|gb|GBGH01022169.1||m.33763 gi|671189430|gb|GBGH01022169.1||g.33763  ,phyd2015,M,5,-,-,-,N,-,167,-,-
gi|671189431|gb|GBGH01022168.1||m.33762 gi|671189431|gb|GBGH01022168.1||g.33762  ,phyd2016,_,2,-,-,-,N,-,260,-,-
gi|671189432|gb|GBGH01022167.1||m.33761 gi|671189432|gb|GBGH01022167.1||g.33761  ,phyd2017,_,2,-,-,-,N,-,330,-,-
gi|671189433|gb|GBGH01022166.1||m.33759 gi|671189433|gb|GBGH01022166.1||g.33759  ,phyd2018,M,4,-,-,-,N,-,148,-,-
gi|671189434|gb|GBGH01022165.1||m.33758 gi|671189434|gb|GBGH01022165.1||g.33758  ,phyd2019,_,2,-,-,-,N,-,358,-,-
gi|671189435|gb|GBGH01022164.1||m.33753 gi|671189435|gb|GBGH01022164.1||g.33753  ,phyd2020,_,1,-,-,-,N,-,761,-,-
gi|671189437|gb|GBGH01022162.1||m.33751 gi|671189437|gb|GBGH01022162.1||g.33751  ,phyd2021,_,3,-,-,-,N,-,174,-,-
gi|671189438|gb|GBGH01022161.1||m.33750 gi|671189438|gb|GBGH01022161.1||g.33750  ,phyd2022,M,2,-,-,-,Y,-,626,-,-
gi|671189439|gb|GBGH01022160.1||m.33748 gi|671189439|gb|GBGH01022160.1||g.33748  ,phyd2023,_,1,-,-,-,N,-,128,-,-
gi|671189440|gb|GBGH01022159.1||m.33747 gi|671189440|gb|GBGH01022159.1||g.33747  ,phyd2024,_,4,hsap538,mmus1350,scer731,Y,NIT2,294,Nit2,NIT3
gi|671189441|gb|GBGH01022158.1||m.33745 gi|671189441|gb|GBGH01022158.1||g.33745  ,phyd2025,_,2,-,-,-,N,-,144,-,-
gi|671189442|gb|GBGH01022157.1||m.33744 gi|671189442|gb|GBGH01022157.1||g.33744  ,phyd2026,_,1,-,-,-,N,-,713,-,-
gi|671189443|gb|GBGH01022156.1||m.33743 gi|671189443|gb|GBGH01022156.1||g.33743  ,phyd2027,_,1,-,-,-,N,-,261,-,-
gi|671189444|gb|GBGH01022155.1||m.33738 gi|671189444|gb|GBGH01022155.1||g.33738  ,phyd2028,_,1,-,-,-,N,-,1041,-,-
gi|671189445|gb|GBGH01022154.1||m.33737 gi|671189445|gb|GBGH01022154.1||g.33737  ,phyd2029,_,3,-,-,-,N,-,514,-,-
gi|671189446|gb|GBGH01022153.1||m.33735 gi|671189446|gb|GBGH01022153.1||g.33735  ,phyd2030,_,5,-,-,-,N,-,104,-,-
gi|671189447|gb|GBGH01022152.1||m.33730 gi|671189447|gb|GBGH01022152.1||g.33730  ,phyd2031,_,2,-,-,-,N,-,403,-,-
gi|671189448|gb|GBGH01022151.1||m.33728 gi|671189448|gb|GBGH01022151.1||g.33728  ,phyd2032,M,3,-,-,-,Y,-,408,-,-
gi|671189449|gb|GBGH01022150.1||m.33726 gi|671189449|gb|GBGH01022150.1||g.33726  ,phyd2033,S,1,-,-,-,N,-,122,-,-
gi|671189450|gb|GBGH01022149.1||m.33725 gi|671189450|gb|GBGH01022149.1||g.33725  ,phyd2034,S,1,-,-,-,N,-,343,-,-
gi|671189451|gb|GBGH01022148.1||m.33724 gi|671189451|gb|GBGH01022148.1||g.33724  ,phyd2035,_,3,-,-,-,N,-,700,-,-
gi|671189452|gb|GBGH01022147.1||m.33722 gi|671189452|gb|GBGH01022147.1||g.33722  ,phyd2036,S,2,-,-,-,N,-,161,-,-
gi|671189452|gb|GBGH01022147.1||m.33723 gi|671189452|gb|GBGH01022147.1||g.33723  ,phyd2037,_,3,-,-,-,N,-,100,-,-
gi|671189453|gb|GBGH01022146.1||m.33721 gi|671189453|gb|GBGH01022146.1||g.33721  ,phyd2038,_,4,-,-,-,N,-,156,-,-
gi|671189454|gb|GBGH01022145.1||m.33720 gi|671189454|gb|GBGH01022145.1||g.33720  ,phyd2039,_,5,-,-,-,N,-,247,-,-
gi|671189455|gb|GBGH01022144.1||m.33718 gi|671189455|gb|GBGH01022144.1||g.33718  ,phyd2040,_,1,-,-,-,N,-,190,-,-
gi|671189456|gb|GBGH01022143.1||m.33716 gi|671189456|gb|GBGH01022143.1||g.33716  ,phyd2041,M,4,-,-,-,N,-,619,-,-
gi|671189458|gb|GBGH01022141.1||m.33715 gi|671189458|gb|GBGH01022141.1||g.33715  ,phyd2042,_,2,-,-,-,N,-,181,-,-
gi|671189459|gb|GBGH01022140.1||m.33712 gi|671189459|gb|GBGH01022140.1||g.33712  ,phyd2043,_,1,-,-,-,N,-,357,-,-
gi|671189460|gb|GBGH01022139.1||m.33711 gi|671189460|gb|GBGH01022139.1||g.33711  ,phyd2044,_,1,-,-,-,N,-,195,-,-
gi|671189461|gb|GBGH01022138.1||m.33710 gi|671189461|gb|GBGH01022138.1||g.33710  ,phyd2045,M,3,-,-,-,Y,-,272,-,-
gi|671189462|gb|GBGH01022137.1||m.33709 gi|671189462|gb|GBGH01022137.1||g.33709  ,phyd2046,S,2,-,-,-,N,-,436,-,-
gi|671189463|gb|GBGH01022136.1||m.33706 gi|671189463|gb|GBGH01022136.1||g.33706  ,phyd2047,_,1,-,-,-,N,-,449,-,-
gi|671189464|gb|GBGH01022135.1||m.33705 gi|671189464|gb|GBGH01022135.1||g.33705  ,phyd2048,_,4,-,-,-,N,-,352,-,-
gi|671189465|gb|GBGH01022134.1||m.33704 gi|671189465|gb|GBGH01022134.1||g.33704  ,phyd2049,_,5,-,-,-,N,-,494,-,-
gi|671189466|gb|GBGH01022133.1||m.33703 gi|671189466|gb|GBGH01022133.1||g.33703  ,phyd2050,M,4,-,-,-,N,-,188,-,-
gi|671189467|gb|GBGH01022132.1||m.33702 gi|671189467|gb|GBGH01022132.1||g.33702  ,phyd2051,M,5,-,-,-,N,-,543,-,-
gi|671189468|gb|GBGH01022131.1||m.33701 gi|671189468|gb|GBGH01022131.1||g.33701  ,phyd2052,_,5,-,-,-,N,-,117,-,-
