transcriptid,proteinid,targetp,RC,hsap_ortho,mmus_ortho,scer_ortho,mitoprot,hsap_ortho_geneid,seqlength,mmus_ortho_geneid,scer_ortho_geneid
sctid27462,scil14989,_ , 3, -, -, -,  N,-,1145,-,-
sctid27464,scil14990,_ , 3, -, -, -,  N,-,938,-,-
sctid27473,scil14991,_ , 3, -, -, -,  N,-,121,-,-
sctid27476,scil14992,M , 5, -, -, -,  N,-,871,-,-
sctid27479,scil14993,_ , 4, -, -, -,  N,-,972,-,-
sctid27481,scil14994,_ , 1, -, -, -,  N,-,1122,-,-
sctid27484,scil14995,_ , 4, -, -, -,  N,-,919,-,-
sctid27486,scil14996,_ , 1, -, -, -,  N,-,903,-,-
sctid27486,scil14997,_ , 2, -, -, -,  N,-,177,-,-
sctid27486,scil14998,S , 1, -, -, -,  N,-,262,-,-
sctid27493,scil14999,S , 1, -, -, -,  N,-,167,-,-
sctid27495,scil15000,S , 1, -, -, -,  N,-,134,-,-
sctid27500,scil15001,_ , 2, hsap1215, mmus1501, scer740,  Y,IDE,1069,Ide,STE23
sctid27506,scil15002,_ , 3, -, -, -,  N,-,1270,-,-
sctid2750,scil15003,S , 1, -, -, -,  N,-,136,-,-
sctid2750,scil15004,M , 4, -, -, -,  N,-,881,-,-
sctid27511,scil15005,_ , 2, -, -, -,  N,-,1068,-,-
sctid27515,scil15006,_ , 5, -, -, -,  N,-,927,-,-
sctid27519,scil15007,M , 4, -, -, -,  N,-,1183,-,-
sctid2751,scil15008,M , 4, -, -, -,  N,-,627,-,-
sctid27524,scil15009,_ , 4, -, -, -,  N,-,1173,-,-
sctid27525,scil15010,S , 1, -, -, -,  N,-,981,-,-
sctid2752,scil15011,S , 1, -, -, -,  N,-,413,-,-
sctid27531,scil15012,_ , 5, -, -, -,  N,-,792,-,-
sctid27536,scil15013,_ , 4, -, -, -,  N,-,113,-,-
sctid27539,scil15014,_ , 5, -, -, -,  N,-,284,-,-
sctid2753,scil15015,M , 3, hsap227, mmus1001, -,  Y,MRPL55,156,Mrpl55,-
sctid27541,scil15016,M , 3, -, -, -,  Y,-,639,-,-
sctid27543,scil15017,_ , 2, -, -, -,  N,-,1131,-,-
sctid27546,scil15018,_ , 2, -, -, -,  N,-,130,-,-
sctid27546,scil15019,_ , 4, -, -, -,  N,-,1697,-,-
sctid27547,scil15020,M , 3, -, -, -,  Y,-,1189,-,-
sctid27555,scil15021,M , 2, -, -, -,  Y,-,963,-,-
sctid27559,scil15022,_ , 1, -, -, -,  N,-,773,-,-
sctid27561,scil15023,_ , 1, -, -, -,  N,-,1328,-,-
sctid27567,scil15024,_ , 2, -, -, -,  N,-,1035,-,-
sctid27569,scil15025,S , 1, -, -, -,  N,-,800,-,-
sctid2756,scil15026,S , 2, -, -, -,  N,-,391,-,-
sctid2756,scil15027,_ , 2, -, -, -,  N,-,127,-,-
sctid2756,scil15028,_ , 3, -, -, -,  N,-,2851,-,-
sctid2756,scil15029,_ , 1, -, -, -,  N,-,279,-,-
sctid2756,scil15030,_ , 1, -, -, -,  N,-,117,-,-
sctid27571,scil15031,S , 4, -, -, -,  N,-,950,-,-
sctid27573,scil15032,_ , 4, -, -, -,  N,-,1049,-,-
sctid27578,scil15033,_ , 1, -, -, -,  N,-,919,-,-
sctid27583,scil15034,S , 1, -, -, -,  N,-,845,-,-
sctid27586,scil15035,_ , 1, -, -, -,  N,-,970,-,-
sctid27588,scil15036,_ , 3, -, -, -,  N,-,1048,-,-
sctid27594,scil15037,S , 4, -, -, -,  N,-,973,-,-
sctid27596,scil15038,M , 3, -, -, -,  Y,-,813,-,-
sctid275,scil15039,S , 2, -, -, -,  N,-,5584,-,-
sctid27601,scil15040,_ , 2, -, -, -,  N,-,784,-,-
sctid27602,scil15041,_ , 4, -, -, -,  N,-,157,-,-
sctid27607,scil15042,_ , 4, -, -, -,  N,-,940,-,-
sctid27611,scil15043,_ , 2, -, -, -,  N,-,824,-,-
sctid27616,scil15044,_ , 1, -, -, -,  N,-,1217,-,-
sctid27618,scil15045,M , 4, -, -, -,  N,-,1159,-,-
sctid27621,scil15046,M , 3, -, -, -,  Y,-,783,-,-
sctid27626,scil15047,_ , 4, -, -, -,  N,-,757,-,-
sctid27628,scil15048,S , 2, -, -, -,  N,-,1093,-,-
sctid27630,scil15049,M , 3, -, -, -,  N,-,1033,-,-
sctid27634,scil15050,S , 1, -, -, -,  N,-,114,-,-
sctid27634,scil15051,_ , 3, -, -, -,  N,-,201,-,-
sctid27637,scil15052,_ , 4, -, -, -,  N,-,963,-,-
sctid27640,scil15053,_ , 3, -, -, -,  N,-,1047,-,-
sctid27646,scil15054,_ , 1, -, -, -,  N,-,1163,-,-
sctid27650,scil15055,_ , 1, -, -, -,  N,-,483,-,-
sctid27651,scil15056,_ , 5, -, -, -,  N,-,215,-,-
sctid27652,scil15057,_ , 2, -, -, -,  N,-,144,-,-
sctid27654,scil15058,_ , 1, -, -, -,  N,-,128,-,-
sctid27656,scil15059,M , 2, -, -, -,  Y,-,113,-,-
sctid27658,scil15060,_ , 2, -, -, -,  N,-,745,-,-
sctid27659,scil15061,_ , 3, -, -, -,  N,-,131,-,-
sctid27659,scil15062,_ , 5, -, -, -,  N,-,206,-,-
sctid27661,scil15063,_ , 2, -, -, -,  N,-,1113,-,-
sctid27664,scil15064,M , 4, -, -, -,  N,-,1138,-,-
sctid27672,scil15065,S , 1, -, -, -,  N,-,885,-,-
sctid27675,scil15066,_ , 4, -, -, -,  N,-,1185,-,-
sctid27677,scil15067,_ , 4, -, -, -,  N,-,1286,-,-
sctid27678,scil15068,_ , 4, -, -, -,  N,-,486,-,-
sctid27683,scil15069,_ , 5, -, -, -,  N,-,1164,-,-
sctid27689,scil15070,M , 5, -, -, -,  N,-,1257,-,-
sctid2768,scil15071,_ , 1, -, -, -,  N,-,3311,-,-
sctid27693,scil15072,_ , 1, -, -, -,  N,-,1177,-,-
sctid27697,scil15073,_ , 4, -, -, -,  N,-,463,-,-
sctid27698,scil15074,M , 4, -, -, -,  N,-,129,-,-
sctid27703,scil15075,_ , 1, -, -, -,  N,-,890,-,-
sctid27708,scil15076,S , 1, -, -, -,  N,-,615,-,-
sctid27709,scil15077,_ , 4, -, -, -,  N,-,348,-,-
sctid27713,scil15078,M , 5, -, -, -,  N,-,219,-,-
sctid27716,scil15079,M , 5, -, -, -,  N,-,1225,-,-
sctid27722,scil15080,_ , 3, -, -, -,  N,-,345,-,-
sctid27722,scil15081,S , 1, -, -, -,  N,-,981,-,-
sctid27726,scil15082,_ , 5, -, -, -,  N,-,464,-,-
sctid27727,scil15083,_ , 1, -, -, -,  N,-,1757,-,-
sctid27733,scil15084,_ , 3, -, -, -,  N,-,1230,-,-
sctid27734,scil15085,_ , 3, -, -, -,  N,-,871,-,-
sctid2773,scil15086,_ , 2, -, -, -,  N,-,127,-,-
sctid2773,scil15087,S , 2, -, -, -,  N,-,391,-,-
sctid2773,scil15088,_ , 1, -, -, -,  N,-,117,-,-
sctid2773,scil15089,_ , 1, -, -, -,  N,-,279,-,-
sctid2773,scil15090,_ , 3, -, -, -,  N,-,2846,-,-
sctid27744,scil15091,M , 3, -, -, -,  Y,-,500,-,-
sctid27745,scil15092,S , 1, -, -, -,  N,-,174,-,-
sctid27749,scil15093,_ , 2, -, -, -,  N,-,1943,-,-
sctid27755,scil15094,S , 2, -, -, -,  N,-,860,-,-
sctid27759,scil15095,S , 5, -, -, -,  N,-,116,-,-
sctid27759,scil15096,_ , 4, -, -, -,  N,-,1089,-,-
sctid27762,scil15097,_ , 4, -, -, -,  N,-,1206,-,-
sctid27767,scil15098,S , 5, -, -, -,  N,-,1257,-,-
sctid27770,scil15099,M , 4, -, -, -,  N,-,244,-,-
sctid27770,scil15100,_ , 1, -, -, -,  N,-,966,-,-
sctid27776,scil15101,_ , 4, -, -, -,  N,-,1042,-,-
sctid27779,scil15102,M , 4, -, -, -,  N,-,937,-,-
sctid27780,scil15103,M , 4, -, -, -,  N,-,210,-,-
sctid27782,scil15104,_ , 1, -, -, -,  N,-,927,-,-
sctid27783,scil15105,_ , 2, -, -, -,  N,-,403,-,-
sctid27785,scil15106,_ , 5, -, -, -,  N,-,117,-,-
sctid27786,scil15107,_ , 4, -, -, -,  N,-,1176,-,-
sctid27790,scil15108,_ , 2, -, -, -,  N,-,438,-,-
sctid27792,scil15109,_ , 3, -, -, -,  N,-,500,-,-
sctid27793,scil15110,_ , 5, -, -, -,  N,-,369,-,-
sctid27797,scil15111,M , 3, -, -, -,  Y,-,829,-,-
sctid27800,scil15112,_ , 4, -, -, -,  N,-,985,-,-
sctid27801,scil15113,_ , 1, -, -, -,  N,-,1213,-,-
sctid27803,scil15114,S , 2, -, -, -,  N,-,681,-,-
sctid27804,scil15115,_ , 5, -, -, -,  N,-,274,-,-
sctid27807,scil15116,_ , 4, -, -, -,  N,-,353,-,-
sctid27810,scil15117,_ , 3, -, -, -,  N,-,504,-,-
sctid27811,scil15118,_ , 1, -, -, scer805,  Y,-,1173,-,ECM16
sctid27812,scil15119,_ , 2, -, -, -,  N,-,957,-,-
sctid27814,scil15120,_ , 2, -, -, -,  N,-,120,-,-
sctid27815,scil15121,_ , 1, -, -, -,  N,-,921,-,-
sctid27818,scil15122,_ , 4, -, -, -,  N,-,308,-,-
sctid27818,scil15123,S , 2, -, -, -,  N,-,977,-,-
sctid27820,scil15124,_ , 1, -, -, -,  N,-,614,-,-
sctid27822,scil15125,_ , 4, -, -, -,  N,-,362,-,-
sctid27825,scil15126,_ , 2, -, -, -,  N,-,775,-,-
sctid27830,scil15127,_ , 4, -, -, -,  N,-,590,-,-
sctid27831,scil15128,S , 1, -, -, -,  N,-,212,-,-
sctid27832,scil15129,S , 1, -, -, -,  N,-,1008,-,-
sctid27842,scil15130,S , 1, -, -, -,  N,-,100,-,-
sctid27843,scil15131,_ , 2, -, -, -,  N,-,1050,-,-
sctid27851,scil15132,S , 2, -, -, -,  N,-,406,-,-
sctid27856,scil15133,_ , 2, -, -, -,  N,-,290,-,-
sctid27857,scil15134,S , 3, -, -, -,  N,-,145,-,-
sctid27858,scil15135,_ , 3, -, -, -,  N,-,136,-,-
sctid27859,scil15136,_ , 1, -, -, -,  N,-,100,-,-
sctid27860,scil15137,M , 5, -, -, -,  N,-,669,-,-
sctid27862,scil15138,M , 2, -, -, -,  Y,-,359,-,-
sctid27866,scil15139,_ , 1, -, -, -,  N,-,963,-,-
sctid27869,scil15140,_ , 1, -, -, -,  N,-,504,-,-
sctid2786,scil15141,M , 5, -, -, -,  N,-,1095,-,-
sctid27870,scil15142,_ , 3, -, -, -,  N,-,179,-,-
sctid27872,scil15143,S , 1, -, -, -,  N,-,919,-,-
sctid27873,scil15144,_ , 1, -, -, -,  N,-,1157,-,-
sctid27874,scil15145,S , 3, -, -, -,  N,-,931,-,-
sctid27877,scil15146,M , 3, -, -, -,  Y,-,430,-,-
sctid27882,scil15147,M , 5, -, -, -,  N,-,1069,-,-
sctid27888,scil15148,S , 4, -, -, -,  N,-,1172,-,-
sctid27893,scil15149,M , 5, -, -, -,  N,-,1220,-,-
sctid27899,scil15150,_ , 3, -, -, -,  N,-,954,-,-
sctid27901,scil15151,M , 5, -, -, -,  N,-,1047,-,-
sctid27905,scil15152,_ , 2, -, -, -,  N,-,1043,-,-
sctid27911,scil15153,M , 4, -, -, -,  N,-,984,-,-
sctid27914,scil15154,M , 4, -, -, -,  N,-,351,-,-
sctid27915,scil15155,_ , 4, -, -, -,  N,-,175,-,-
sctid27921,scil15156,S , 1, -, -, -,  N,-,153,-,-
sctid27922,scil15157,_ , 5, -, -, -,  N,-,135,-,-
sctid27928,scil15158,_ , 2, -, -, -,  N,-,103,-,-
sctid27932,scil15159,_ , 5, -, -, -,  N,-,1158,-,-
sctid27940,scil15160,S , 4, -, -, -,  N,-,120,-,-
sctid27941,scil15161,S , 5, -, -, -,  N,-,891,-,-
sctid27945,scil15162,_ , 2, -, -, -,  N,-,1432,-,-
sctid27952,scil15163,M , 2, -, -, -,  Y,-,330,-,-
sctid27955,scil15164,S , 3, -, -, -,  N,-,1188,-,-
sctid27959,scil15165,M , 4, -, -, -,  N,-,716,-,-
sctid2795,scil15166,_ , 2, -, -, -,  N,-,1536,-,-
sctid27962,scil15167,_ , 3, -, -, -,  N,-,1148,-,-
sctid27964,scil15168,_ , 5, -, -, -,  N,-,860,-,-
sctid27965,scil15169,_ , 2, -, -, -,  N,-,323,-,-
sctid2796,scil15170,_ , 4, -, -, -,  N,-,1114,-,-
sctid27971,scil15171,_ , 4, -, -, -,  N,-,144,-,-
sctid27974,scil15172,S , 5, -, -, -,  N,-,110,-,-
sctid27974,scil15173,_ , 4, -, -, -,  N,-,1083,-,-
sctid27977,scil15174,M , 4, -, -, -,  N,-,756,-,-
sctid27980,scil15175,S , 1, -, -, -,  N,-,712,-,-
sctid27985,scil15176,_ , 1, -, -, -,  N,-,960,-,-
sctid27985,scil15177,M , 4, -, -, -,  N,-,244,-,-
sctid2798,scil15178,_ , 3, -, -, -,  N,-,215,-,-
sctid27991,scil15179,M , 1, hsap2056, mmus918, scer316,  Y,POLRMT,1076,Polrmt,RPO41
sctid27994,scil15180,_ , 2, -, -, -,  N,-,567,-,-
sctid27995,scil15181,_ , 2, -, -, -,  N,-,361,-,-
sctid27997,scil15182,_ , 4, -, -, -,  N,-,1010,-,-
sctid28001,scil15183,S , 4, -, -, -,  N,-,1170,-,-
sctid28006,scil15184,_ , 3, -, -, -,  N,-,688,-,-
sctid28007,scil15185,S , 5, -, -, -,  N,-,524,-,-
sctid28011,scil15186,_ , 5, -, -, -,  N,-,789,-,-
sctid28012,scil15187,_ , 1, -, -, -,  N,-,278,-,-
sctid28016,scil15188,M , 5, -, -, -,  N,-,1168,-,-
sctid28019,scil15189,_ , 4, -, -, -,  N,-,1161,-,-
sctid28020,scil15190,_ , 2, -, -, -,  N,-,1086,-,-
sctid28021,scil15191,_ , 2, -, -, -,  N,-,969,-,-
sctid28026,scil15192,_ , 1, -, -, scer739,  Y,-,1111,-,SMC6
sctid28026,scil15193,S , 5, -, -, -,  N,-,348,-,-
sctid28033,scil15194,_ , 4, -, -, -,  N,-,709,-,-
sctid28036,scil15195,M , 5, -, -, -,  N,-,991,-,-
sctid28039,scil15196,_ , 2, -, -, -,  N,-,1078,-,-
sctid28040,scil15197,_ , 1, -, -, -,  N,-,125,-,-
sctid28040,scil15198,M , 3, -, -, -,  Y,-,596,-,-
sctid28047,scil15199,S , 1, -, -, -,  N,-,1378,-,-
sctid28049,scil15200,_ , 1, -, -, -,  N,-,858,-,-
sctid28051,scil15201,_ , 5, -, -, -,  N,-,148,-,-
sctid28056,scil15202,_ , 4, -, -, -,  N,-,1034,-,-
sctid28059,scil15203,_ , 1, -, -, -,  N,-,1153,-,-
sctid28060,scil15204,M , 5, -, -, -,  N,-,1206,-,-
sctid28064,scil15205,_ , 5, -, -, scer122,  Y,-,871,-,NAT1
sctid28066,scil15206,M , 2, -, -, -,  Y,-,977,-,-
sctid28068,scil15207,M , 1, hsap581, -, -,  Y,MTHFD2L,337,-,-
sctid28071,scil15208,_ , 1, -, -, -,  N,-,902,-,-
sctid28072,scil15209,_ , 3, -, -, -,  N,-,658,-,-
sctid28076,scil15210,_ , 2, -, -, -,  N,-,107,-,-
sctid28078,scil15211,M , 5, -, -, -,  N,-,190,-,-
sctid28078,scil15212,_ , 5, -, -, -,  N,-,436,-,-
sctid2807,scil15213,_ , 5, -, -, -,  N,-,2292,-,-
sctid28082,scil15214,_ , 5, -, -, -,  N,-,1071,-,-
sctid28085,scil15215,S , 1, -, -, -,  N,-,823,-,-
sctid28086,scil15216,_ , 3, -, -, -,  N,-,1036,-,-
sctid28092,scil15217,_ , 1, -, -, -,  N,-,1256,-,-
sctid28096,scil15218,_ , 4, -, -, -,  N,-,1126,-,-
sctid28101,scil15219,_ , 5, -, -, -,  N,-,177,-,-
sctid28104,scil15220,_ , 5, -, -, -,  N,-,600,-,-
sctid28108,scil15221,_ , 4, -, -, -,  N,-,288,-,-
sctid28110,scil15222,_ , 4, -, -, -,  N,-,908,-,-
sctid28113,scil15223,_ , 2, -, -, -,  N,-,1725,-,-
sctid28118,scil15224,_ , 1, -, -, -,  N,-,936,-,-
sctid28123,scil15225,_ , 1, -, -, -,  N,-,441,-,-
sctid28124,scil15226,_ , 2, -, -, -,  N,-,326,-,-
sctid28125,scil15227,_ , 2, -, -, -,  N,-,315,-,-
sctid28130,scil15228,S , 3, -, -, -,  N,-,233,-,-
sctid28138,scil15229,S , 1, -, -, -,  N,-,208,-,-
sctid28141,scil15230,M , 3, -, -, -,  Y,-,109,-,-
sctid28142,scil15231,_ , 1, -, -, -,  N,-,866,-,-
sctid28145,scil15232,S , 1, -, -, -,  N,-,1110,-,-
sctid2814,scil15233,S , 1, -, -, -,  N,-,2802,-,-
sctid28150,scil15234,_ , 2, -, -, -,  N,-,401,-,-
sctid28154,scil15235,S , 4, -, -, -,  N,-,1166,-,-
sctid28159,scil15236,_ , 1, -, -, -,  N,-,834,-,-
sctid28163,scil15237,_ , 2, -, -, -,  N,-,933,-,-
sctid28167,scil15238,S , 3, -, -, -,  N,-,406,-,-
sctid28172,scil15239,_ , 2, -, -, -,  N,-,825,-,-
sctid28176,scil15240,_ , 1, -, -, -,  N,-,1150,-,-
sctid28177,scil15241,_ , 4, -, -, -,  N,-,950,-,-
sctid28183,scil15242,S , 2, -, -, -,  N,-,107,-,-
sctid28184,scil15243,_ , 5, -, -, -,  N,-,822,-,-
sctid28186,scil15244,M , 2, -, -, -,  Y,-,921,-,-
sctid28191,scil15245,_ , 1, -, -, -,  N,-,304,-,-
sctid28192,scil15246,_ , 4, -, -, -,  N,-,225,-,-
sctid28194,scil15247,M , 5, -, -, -,  N,-,125,-,-
sctid28195,scil15248,S , 2, -, -, -,  N,-,763,-,-
sctid28196,scil15249,_ , 2, -, -, -,  N,-,144,-,-
sctid28200,scil15250,_ , 5, -, -, -,  N,-,497,-,-
sctid28206,scil15251,_ , 4, -, -, -,  N,-,1253,-,-
sctid28209,scil15252,_ , 2, -, -, -,  N,-,1209,-,-
sctid28211,scil15253,S , 4, -, -, -,  N,-,243,-,-
sctid28214,scil15254,_ , 2, -, -, -,  N,-,177,-,-
sctid28214,scil15255,S , 1, -, -, -,  N,-,245,-,-
sctid28214,scil15256,_ , 1, -, -, -,  N,-,886,-,-
sctid28219,scil15257,_ , 4, -, -, -,  N,-,906,-,-
sctid28222,scil15258,S , 5, -, -, -,  N,-,1022,-,-
sctid28225,scil15259,_ , 3, -, -, -,  N,-,717,-,-
sctid28229,scil15260,_ , 5, -, -, -,  N,-,910,-,-
sctid28232,scil15261,_ , 2, -, -, -,  N,-,1090,-,-
sctid28236,scil15262,S , 1, -, -, -,  N,-,522,-,-
sctid28237,scil15263,_ , 3, -, -, -,  N,-,151,-,-
sctid28240,scil15264,M , 4, -, -, -,  N,-,244,-,-
sctid28240,scil15265,_ , 1, -, -, -,  N,-,954,-,-
sctid28246,scil15266,_ , 1, -, -, -,  N,-,1358,-,-
sctid28250,scil15267,_ , 4, -, -, -,  N,-,1077,-,-
sctid28250,scil15268,S , 5, -, -, -,  N,-,104,-,-
sctid28253,scil15269,_ , 4, -, -, -,  N,-,1156,-,-
sctid28254,scil15270,_ , 3, -, -, -,  N,-,632,-,-
sctid28259,scil15271,M , 5, -, -, -,  N,-,1212,-,-
sctid28265,scil15272,M , 3, -, -, -,  Y,-,490,-,-
sctid28266,scil15273,S , 4, -, -, -,  N,-,1164,-,-
sctid28271,scil15274,M , 3, -, -, -,  Y,-,905,-,-
sctid28279,scil15275,M , 5, -, -, -,  N,-,814,-,-
sctid28281,scil15276,S , 1, -, -, -,  N,-,920,-,-
sctid28285,scil15277,S , 1, -, -, -,  N,-,1113,-,-
sctid28288,scil15278,S , 3, -, -, -,  N,-,190,-,-
sctid28291,scil15279,M , 3, -, -, -,  Y,-,713,-,-
sctid28293,scil15280,M , 5, -, -, -,  N,-,932,-,-
sctid28294,scil15281,M , 3, -, -, -,  Y,-,275,-,-
sctid28298,scil15282,_ , 4, -, -, -,  N,-,117,-,-
sctid28300,scil15283,_ , 4, -, -, -,  N,-,1155,-,-
sctid28301,scil15284,M , 2, -, -, -,  Y,-,1168,-,-
sctid28305,scil15285,M , 2, -, -, -,  Y,-,1041,-,-
sctid28311,scil15286,_ , 1, -, -, -,  N,-,1252,-,-
sctid28311,scil15287,S , 1, -, -, -,  N,-,308,-,-
sctid28314,scil15288,M , 5, -, -, -,  N,-,776,-,-
sctid28315,scil15289,M , 4, -, -, -,  N,-,324,-,-
sctid2831,scil15290,_ , 2, -, -, -,  N,-,2780,-,-
sctid28321,scil15291,S , 1, -, -, -,  N,-,725,-,-
sctid28323,scil15292,_ , 4, -, -, -,  N,-,258,-,-
sctid28325,scil15293,_ , 4, -, -, -,  N,-,199,-,-
sctid28331,scil15294,_ , 1, -, -, -,  N,-,880,-,-
sctid28333,scil15295,_ , 3, -, -, -,  N,-,1087,-,-
sctid28338,scil15296,_ , 2, -, -, -,  N,-,845,-,-
sctid28342,scil15297,M , 5, -, -, -,  N,-,1145,-,-
sctid28345,scil15298,_ , 3, -, -, -,  N,-,567,-,-
sctid28348,scil15299,S , 3, -, -, -,  N,-,830,-,-
sctid28350,scil15300,S , 1, -, -, -,  N,-,996,-,-
sctid28352,scil15301,_ , 1, -, -, -,  N,-,833,-,-
sctid28353,scil15302,S , 1, -, -, -,  N,-,166,-,-
sctid28358,scil15303,S , 4, -, -, -,  N,-,783,-,-
sctid28360,scil15304,S , 5, -, -, -,  N,-,1009,-,-
sctid28367,scil15305,_ , 1, -, -, -,  N,-,290,-,-
sctid2836,scil15306,S , 1, -, -, -,  N,-,2697,-,-
sctid2836,scil15307,S , 3, -, -, -,  N,-,104,-,-
sctid28370,scil15308,_ , 1, -, -, -,  N,-,949,-,-
sctid28375,scil15309,_ , 1, -, -, -,  N,-,1146,-,-
sctid28376,scil15310,_ , 2, -, -, -,  N,-,1058,-,-
sctid28377,scil15311,_ , 1, -, -, -,  N,-,217,-,-
sctid28377,scil15312,_ , 1, -, -, -,  N,-,951,-,-
sctid28383,scil15313,M , 3, -, -, -,  Y,-,796,-,-
sctid28386,scil15314,M , 2, -, -, -,  Y,-,928,-,-
sctid28389,scil15315,_ , 4, -, -, -,  N,-,418,-,-
sctid28391,scil15316,_ , 2, -, -, -,  N,-,332,-,-
sctid28394,scil15317,_ , 2, -, -, -,  N,-,832,-,-
sctid28399,scil15318,M , 3, -, -, -,  Y,-,1276,-,-
sctid28401,scil15319,S , 5, -, -, -,  N,-,1250,-,-
sctid28404,scil15320,M , 2, -, -, -,  Y,-,1162,-,-
sctid28407,scil15321,S , 5, -, -, -,  N,-,174,-,-
sctid2840,scil15322,_ , 4, -, -, -,  N,-,2929,-,-
sctid28416,scil15323,_ , 1, -, -, -,  N,-,945,-,-
sctid28421,scil15324,_ , 2, -, -, -,  N,-,177,-,-
sctid28421,scil15325,_ , 1, -, -, -,  N,-,882,-,-
sctid28421,scil15326,S , 1, -, -, -,  N,-,241,-,-
sctid28426,scil15327,_ , 5, -, -, -,  N,-,1360,-,-
sctid28433,scil15328,_ , 4, -, -, -,  N,-,197,-,-
sctid28436,scil15329,_ , 2, -, -, -,  N,-,424,-,-
sctid28437,scil15330,_ , 5, -, -, -,  N,-,167,-,-
sctid28438,scil15331,_ , 4, -, -, -,  N,-,1026,-,-
sctid28441,scil15332,S , 1, -, -, -,  N,-,1001,-,-
sctid28442,scil15333,M , 1, -, -, -,  Y,-,844,-,-
sctid28444,scil15334,M , 4, -, -, -,  N,-,707,-,-
sctid28447,scil15335,_ , 2, -, -, -,  N,-,424,-,-
sctid28448,scil15336,_ , 4, -, -, -,  N,-,128,-,-
sctid28451,scil15337,S , 2, -, -, -,  N,-,780,-,-
sctid28454,scil15338,S , 4, -, -, -,  N,-,122,-,-
sctid28454,scil15339,_ , 4, -, -, -,  N,-,2102,-,-
sctid28455,scil15340,_ , 3, -, -, -,  N,-,495,-,-
sctid28465,scil15341,S , 4, -, -, -,  N,-,1106,-,-
sctid28469,scil15342,_ , 4, -, -, -,  N,-,1248,-,-
sctid28472,scil15343,S , 1, -, -, -,  N,-,884,-,-
sctid28474,scil15344,_ , 5, -, -, -,  N,-,1200,-,-
sctid28476,scil15345,_ , 3, -, -, scer169,  Y,-,1016,-,ENA2
sctid28479,scil15346,_ , 4, -, -, -,  N,-,928,-,-
sctid2847,scil15347,_ , 1, -, -, -,  N,-,783,-,-
sctid28481,scil15348,_ , 2, -, -, -,  N,-,1162,-,-
sctid28483,scil15349,S , 1, -, -, -,  N,-,1023,-,-
sctid28486,scil15350,_ , 4, -, -, -,  N,-,1071,-,-
sctid28489,scil15351,_ , 1, -, -, -,  N,-,948,-,-
sctid28489,scil15352,M , 4, -, -, -,  N,-,214,-,-
sctid28495,scil15353,_ , 4, -, -, -,  N,-,1150,-,-
sctid28496,scil15354,_ , 2, -, -, -,  N,-,653,-,-
sctid28498,scil15355,_ , 4, -, -, -,  N,-,852,-,-
sctid28501,scil15356,_ , 1, -, -, -,  N,-,1001,-,-
sctid28502,scil15357,M , 2, -, -, -,  Y,-,433,-,-
sctid28507,scil15358,M , 3, -, -, -,  Y,-,1246,-,-
sctid28512,scil15359,_ , 1, -, -, -,  N,-,858,-,-
sctid28515,scil15360,_ , 3, -, -, -,  N,-,457,-,-
sctid28516,scil15361,M , 2, -, -, -,  Y,-,319,-,-
sctid28517,scil15362,_ , 3, -, -, -,  N,-,282,-,-
sctid28519,scil15363,_ , 2, -, -, -,  N,-,1079,-,-
sctid28520,scil15364,_ , 3, -, -, -,  N,-,1197,-,-
sctid28524,scil15365,_ , 2, -, -, -,  N,-,904,-,-
sctid28530,scil15366,M , 1, -, -, -,  Y,-,949,-,-
sctid28534,scil15367,_ , 3, -, -, -,  N,-,325,-,-
sctid28534,scil15368,S , 1, -, -, -,  N,-,1134,-,-
sctid28536,scil15369,_ , 5, -, -, -,  N,-,997,-,-
sctid28540,scil15370,M , 2, -, -, -,  Y,-,571,-,-
sctid28543,scil15371,M , 3, -, -, -,  Y,-,835,-,-
sctid28543,scil15372,M , 5, -, -, -,  N,-,104,-,-
sctid28547,scil15373,S , 1, -, -, -,  N,-,751,-,-
sctid28552,scil15374,_ , 4, -, -, -,  N,-,684,-,-
sctid28556,scil15375,_ , 2, -, -, -,  N,-,1184,-,-
sctid28562,scil15376,_ , 1, -, -, -,  N,-,733,-,-
sctid28565,scil15377,_ , 3, -, -, -,  N,-,891,-,-
sctid28567,scil15378,_ , 1, -, -, -,  N,-,1087,-,-
sctid28570,scil15379,_ , 2, -, -, -,  N,-,1116,-,-
sctid28577,scil15380,M , 5, -, -, -,  N,-,150,-,-
sctid28578,scil15381,_ , 2, -, -, -,  N,-,718,-,-
sctid28580,scil15382,_ , 3, -, -, -,  N,-,323,-,-
sctid28581,scil15383,_ , 2, hsap1557, mmus457, scer774,  Y,COQ5,238,Coq5,COQ5
sctid28582,scil15384,_ , 2, -, -, -,  N,-,234,-,-
sctid28585,scil15385,_ , 1, -, -, -,  N,-,945,-,-
sctid28585,scil15386,_ , 1, -, -, -,  N,-,217,-,-
sctid28591,scil15387,_ , 3, -, -, -,  N,-,502,-,-
sctid28595,scil15388,_ , 2, -, -, -,  N,-,107,-,-
sctid28596,scil15389,_ , 2, -, -, -,  N,-,342,-,-
sctid28597,scil15390,_ , 2, -, -, -,  N,-,305,-,-
sctid28600,scil15391,_ , 1, -, -, -,  N,-,281,-,-
sctid28606,scil15392,_ , 1, -, -, -,  N,-,1086,-,-
sctid28609,scil15393,_ , 3, -, -, -,  N,-,928,-,-
sctid28614,scil15394,S , 1, -, -, -,  N,-,639,-,-
